epoch: 10, wins per 10: 4, avg checkers diff: -4.7
epoch: 20, wins per 10: 2, avg checkers diff: -8.7
epoch: 30, wins per 10: 2, avg checkers diff: -7.3
epoch: 40, wins per 10: 1, avg checkers diff: -12.4
epoch: 50, wins per 10: 3, avg checkers diff: -4.6
epoch: 60, wins per 10: 3, avg checkers diff: -6.4
epoch: 70, loss = 1.798, wins per 10: 0, avg checkers diff: -12.2
epoch: 80, loss = 0.887, wins per 10: 0, avg checkers diff: -14.0
epoch: 90, loss = 0.708, wins per 10: 1, avg checkers diff: -10.3
epoch: 100, loss = 1.018, wins per 10: 2, avg checkers diff: -8.9
epoch: 110, loss = 0.799, wins per 10: 3, avg checkers diff: -6.1
epoch: 120, loss = 0.210, wins per 10: 1, avg checkers diff: -12.2
epoch: 130, loss = 0.279, wins per 10: 4, avg checkers diff: -4.4
epoch: 140, loss = 0.700, wins per 10: 1, avg checkers diff: -11.2
epoch: 150, loss = 0.896, wins per 10: 3, avg checkers diff: -7.7
epoch: 160, loss = 0.178, wins per 10: 1, avg checkers diff: -10.9
epoch: 170, loss = 0.179, wins per 10: 5, avg checkers diff: 1.9
epoch: 180, loss = 0.197, wins per 10: 4, avg checkers diff: -3.2
epoch: 190, loss = 1.364, wins per 10: 4, avg checkers diff: -2.2
epoch: 200, loss = 0.292, wins per 10: 2, avg checkers diff: -9.6
finished testing
epoch: 210, loss = 0.335, wins per 10: 2, avg checkers diff: -6.2
epoch: 220, loss = 0.201, wins per 10: 1, avg checkers diff: -10.8
epoch: 230, loss = 0.281, wins per 10: 4, avg checkers diff: -3.1
epoch: 240, loss = 0.143, wins per 10: 1, avg checkers diff: -11.8
epoch: 250, loss = 0.234, wins per 10: 4, avg checkers diff: -3.4
epoch: 260, loss = 0.277, wins per 10: 1, avg checkers diff: -12.8
epoch: 270, loss = 0.185, wins per 10: 4, avg checkers diff: -5.5
epoch: 280, loss = 0.247, wins per 10: 3, avg checkers diff: -4.0
epoch: 290, loss = 0.318, wins per 10: 3, avg checkers diff: -7.2
epoch: 300, loss = 0.376, wins per 10: 1, avg checkers diff: -10.4
epoch: 310, loss = 0.203, wins per 10: 3, avg checkers diff: -5.3
epoch: 320, loss = 0.312, wins per 10: 2, avg checkers diff: -9.5
epoch: 330, loss = 0.223, wins per 10: 5, avg checkers diff: -1.1
epoch: 340, loss = 0.798, wins per 10: 0, avg checkers diff: -10.9
epoch: 350, loss = 0.345, wins per 10: 3, avg checkers diff: -3.1
epoch: 360, loss = 0.488, wins per 10: 3, avg checkers diff: -6.6
epoch: 370, loss = 0.361, wins per 10: 3, avg checkers diff: -3.8
epoch: 380, loss = 0.336, wins per 10: 2, avg checkers diff: -5.7
epoch: 390, loss = 0.543, wins per 10: 2, avg checkers diff: -9.3
epoch: 400, loss = 0.383, wins per 10: 3, avg checkers diff: -5.7
finished testing
epoch: 410, loss = 0.553, wins per 10: 0, avg checkers diff: -13.6
epoch: 420, loss = 0.354, wins per 10: 6, avg checkers diff: 1.6
epoch: 430, loss = 0.999, wins per 10: 2, avg checkers diff: -8.3
epoch: 440, loss = 1.024, wins per 10: 3, avg checkers diff: -5.4
epoch: 450, loss = 0.963, wins per 10: 2, avg checkers diff: -7.9
epoch: 460, loss = 0.412, wins per 10: 3, avg checkers diff: -5.6
epoch: 470, loss = 0.258, wins per 10: 2, avg checkers diff: -9.0
epoch: 480, loss = 0.602, wins per 10: 3, avg checkers diff: -3.7
epoch: 490, loss = 0.352, wins per 10: 5, avg checkers diff: -2.3
epoch: 500, loss = 0.474, wins per 10: 6, avg checkers diff: 3.4
epoch: 510, loss = 0.548, wins per 10: 3, avg checkers diff: -6.3
epoch: 520, loss = 0.959, wins per 10: 1, avg checkers diff: -8.5
epoch: 530, loss = 0.609, wins per 10: 6, avg checkers diff: 0.7
epoch: 540, loss = 0.487, wins per 10: 4, avg checkers diff: -7.2
epoch: 550, loss = 0.377, wins per 10: 3, avg checkers diff: -3.1
epoch: 560, loss = 0.519, wins per 10: 2, avg checkers diff: -8.5
epoch: 570, loss = 0.416, wins per 10: 5, avg checkers diff: -0.4
epoch: 580, loss = 0.598, wins per 10: 2, avg checkers diff: -7.0
epoch: 590, loss = 0.492, wins per 10: 2, avg checkers diff: -5.8
epoch: 600, loss = 0.481, wins per 10: 5, avg checkers diff: -0.7
finished testing
epoch: 610, loss = 0.779, wins per 10: 5, avg checkers diff: -0.2
epoch: 620, loss = 0.639, wins per 10: 2, avg checkers diff: -9.4
epoch: 630, loss = 0.525, wins per 10: 3, avg checkers diff: -5.1
epoch: 640, loss = 0.199, wins per 10: 4, avg checkers diff: -3.9
epoch: 650, loss = 0.404, wins per 10: 1, avg checkers diff: -10.5
epoch: 660, loss = 1.037, wins per 10: 5, avg checkers diff: 0.0
epoch: 670, loss = 0.549, wins per 10: 1, avg checkers diff: -11.5
epoch: 680, loss = 0.420, wins per 10: 4, avg checkers diff: -2.4
epoch: 690, loss = 0.547, wins per 10: 1, avg checkers diff: -10.8
epoch: 700, loss = 0.896, wins per 10: 3, avg checkers diff: -5.9
epoch: 710, loss = 0.483, wins per 10: 2, avg checkers diff: -9.5
epoch: 720, loss = 0.350, wins per 10: 3, avg checkers diff: -5.5
epoch: 730, loss = 0.404, wins per 10: 0, avg checkers diff: -13.3
epoch: 740, loss = 0.393, wins per 10: 2, avg checkers diff: -9.0
epoch: 750, loss = 0.426, wins per 10: 3, avg checkers diff: -5.2
epoch: 760, loss = 1.014, wins per 10: 4, avg checkers diff: -4.2
epoch: 770, loss = 0.719, wins per 10: 1, avg checkers diff: -8.5
epoch: 780, loss = 0.863, wins per 10: 2, avg checkers diff: -6.5
epoch: 790, loss = 0.628, wins per 10: 2, avg checkers diff: -10.6
epoch: 800, loss = 0.462, wins per 10: 4, avg checkers diff: -5.1
finished testing
epoch: 810, loss = 0.708, wins per 10: 1, avg checkers diff: -10.7
epoch: 820, loss = 0.673, wins per 10: 1, avg checkers diff: -10.6
epoch: 830, loss = 0.514, wins per 10: 3, avg checkers diff: -4.8
epoch: 840, loss = 0.422, wins per 10: 1, avg checkers diff: -10.4
epoch: 850, loss = 0.785, wins per 10: 3, avg checkers diff: -7.2
epoch: 860, loss = 0.872, wins per 10: 1, avg checkers diff: -10.3
epoch: 870, loss = 0.669, wins per 10: 2, avg checkers diff: -9.5
epoch: 880, loss = 0.419, wins per 10: 2, avg checkers diff: -7.9
epoch: 890, loss = 1.387, wins per 10: 3, avg checkers diff: -5.8
epoch: 900, loss = 0.619, wins per 10: 3, avg checkers diff: -8.5
epoch: 910, loss = 0.727, wins per 10: 1, avg checkers diff: -11.0
epoch: 920, loss = 0.729, wins per 10: 4, avg checkers diff: -2.9
epoch: 930, loss = 1.685, wins per 10: 3, avg checkers diff: -7.2
epoch: 940, loss = 1.349, wins per 10: 3, avg checkers diff: -5.8
epoch: 950, loss = 1.858, wins per 10: 3, avg checkers diff: -5.5
epoch: 960, loss = 1.213, wins per 10: 2, avg checkers diff: -7.6
epoch: 970, loss = 1.211, wins per 10: 3, avg checkers diff: -5.6
epoch: 980, loss = 0.640, wins per 10: 1, avg checkers diff: -10.8
epoch: 990, loss = 1.075, wins per 10: 2, avg checkers diff: -8.5
epoch: 1000, loss = 1.118, wins per 10: 3, avg checkers diff: -5.7
finished testing
saved checkpoint
epoch: 1010, loss = 1.094, wins per 10: 2, avg checkers diff: -8.1
epoch: 1020, loss = 0.736, wins per 10: 2, avg checkers diff: -7.8
epoch: 1030, loss = 0.821, wins per 10: 0, avg checkers diff: -12.4
epoch: 1040, loss = 0.765, wins per 10: 1, avg checkers diff: -10.5
epoch: 1050, loss = 1.224, wins per 10: 0, avg checkers diff: -10.9
epoch: 1060, loss = 1.613, wins per 10: 2, avg checkers diff: -6.5
