epoch: 10, wins per 10: 4, avg checkers diff: -5.0
epoch: 20, wins per 10: 4, avg checkers diff: -3.4
epoch: 30, wins per 10: 6, avg checkers diff: 5.6
epoch: 40, wins per 10: 6, avg checkers diff: 1.9
epoch: 50, wins per 10: 4, avg checkers diff: -4.3
epoch: 60, wins per 10: 8, avg checkers diff: 9.3
epoch: 70, wins per 10: 4, avg checkers diff: -2.1
epoch: 80, wins per 10: 5, avg checkers diff: 3.3
epoch: 90, wins per 10: 6, avg checkers diff: 1.1
epoch: 100, loss = 0.830, wins per 10: 7, avg checkers diff: 7.3
epoch: 110, loss = 0.540, wins per 10: 7, avg checkers diff: 6.7
epoch: 120, loss = 2.547, wins per 10: 6, avg checkers diff: 3.5
epoch: 130, loss = 0.748, wins per 10: 8, avg checkers diff: 9.8
epoch: 140, loss = 0.709, wins per 10: 7, avg checkers diff: 4.6
epoch: 150, loss = 1.980, wins per 10: 5, avg checkers diff: 2.7
epoch: 160, loss = 0.361, wins per 10: 7, avg checkers diff: 6.1
epoch: 170, loss = 1.429, wins per 10: 5, avg checkers diff: 2.7
epoch: 180, loss = 0.564, wins per 10: 8, avg checkers diff: 8.1
epoch: 190, loss = 0.473, wins per 10: 7, avg checkers diff: 7.5
epoch: 200, loss = 0.707, wins per 10: 6, avg checkers diff: 2.7
finished testing
epoch: 210, loss = 0.855, wins per 10: 6, avg checkers diff: 5.7
epoch: 220, loss = 0.515, wins per 10: 5, avg checkers diff: 0.8
epoch: 230, loss = 0.881, wins per 10: 5, avg checkers diff: 1.7
epoch: 240, loss = 0.915, wins per 10: 7, avg checkers diff: 5.5
epoch: 250, loss = 0.453, wins per 10: 8, avg checkers diff: 8.2
epoch: 260, loss = 1.010, wins per 10: 7, avg checkers diff: 6.6
epoch: 270, loss = 0.841, wins per 10: 7, avg checkers diff: 1.2
epoch: 280, loss = 0.605, wins per 10: 7, avg checkers diff: 6.1
epoch: 290, loss = 1.002, wins per 10: 7, avg checkers diff: 6.1
epoch: 300, loss = 0.480, wins per 10: 8, avg checkers diff: 4.5
epoch: 310, loss = 0.442, wins per 10: 6, avg checkers diff: 3.2
epoch: 320, loss = 0.393, wins per 10: 6, avg checkers diff: 0.7
epoch: 330, loss = 0.531, wins per 10: 6, avg checkers diff: 3.6
epoch: 340, loss = 0.638, wins per 10: 6, avg checkers diff: 2.5
epoch: 350, loss = 0.887, wins per 10: 8, avg checkers diff: 10.1
epoch: 360, loss = 3.189, wins per 10: 7, avg checkers diff: 6.2
epoch: 370, loss = 0.380, wins per 10: 7, avg checkers diff: 7.1
epoch: 380, loss = 0.756, wins per 10: 8, avg checkers diff: 8.9
epoch: 390, loss = 0.707, wins per 10: 4, avg checkers diff: 0.8
epoch: 400, loss = 0.652, wins per 10: 9, avg checkers diff: 9.0
finished testing
epoch: 410, loss = 0.442, wins per 10: 5, avg checkers diff: 1.3
epoch: 420, loss = 0.497, wins per 10: 7, avg checkers diff: 5.3
epoch: 430, loss = 1.096, wins per 10: 8, avg checkers diff: 7.0
