epoch: 10, wins per 10: 9, avg checkers diff: 9.0
epoch: 20, wins per 10: 6, avg checkers diff: 3.7
epoch: 30, wins per 10: 8, avg checkers diff: 7.8
epoch: 40, wins per 10: 6, avg checkers diff: 3.3
epoch: 50, wins per 10: 10, avg checkers diff: 12.3
epoch: 60, wins per 10: 8, avg checkers diff: 7.9
epoch: 70, wins per 10: 7, avg checkers diff: 7.3
epoch: 80, wins per 10: 8, avg checkers diff: 9.4
epoch: 90, wins per 10: 7, avg checkers diff: 6.5
epoch: 100, loss = 0.482, wins per 10: 8, avg checkers diff: 5.3
epoch: 110, loss = 1.864, wins per 10: 6, avg checkers diff: 4.9
epoch: 120, loss = 1.498, wins per 10: 5, avg checkers diff: 0.4
epoch: 130, loss = 0.433, wins per 10: 8, avg checkers diff: 8.2
epoch: 140, loss = 0.835, wins per 10: 8, avg checkers diff: 6.7
epoch: 150, loss = 0.938, wins per 10: 6, avg checkers diff: 3.2
epoch: 160, loss = 0.476, wins per 10: 10, avg checkers diff: 15.0
epoch: 170, loss = 1.453, wins per 10: 10, avg checkers diff: 12.7
epoch: 180, loss = 0.866, wins per 10: 8, avg checkers diff: 9.3
epoch: 190, loss = 0.545, wins per 10: 9, avg checkers diff: 9.2
epoch: 200, loss = 0.813, wins per 10: 10, avg checkers diff: 14.4
finished testing
epoch: 210, loss = 1.762, wins per 10: 4, avg checkers diff: -3.6
epoch: 220, loss = 0.887, wins per 10: 6, avg checkers diff: 4.0
epoch: 230, loss = 0.809, wins per 10: 8, avg checkers diff: 8.9
epoch: 240, loss = 0.726, wins per 10: 8, avg checkers diff: 9.3
epoch: 250, loss = 0.519, wins per 10: 8, avg checkers diff: 7.8
epoch: 260, loss = 0.725, wins per 10: 9, avg checkers diff: 8.2
epoch: 270, loss = 0.685, wins per 10: 8, avg checkers diff: 9.0
epoch: 280, loss = 0.384, wins per 10: 8, avg checkers diff: 10.3
epoch: 290, loss = 0.528, wins per 10: 8, avg checkers diff: 9.0
epoch: 300, loss = 1.071, wins per 10: 7, avg checkers diff: 5.6
epoch: 310, loss = 1.053, wins per 10: 8, avg checkers diff: 9.2
epoch: 320, loss = 0.592, wins per 10: 10, avg checkers diff: 10.5
epoch: 330, loss = 0.624, wins per 10: 8, avg checkers diff: 4.7
epoch: 340, loss = 1.520, wins per 10: 8, avg checkers diff: 9.3
epoch: 350, loss = 0.455, wins per 10: 9, avg checkers diff: 9.8
epoch: 360, loss = 0.725, wins per 10: 8, avg checkers diff: 7.6
epoch: 370, loss = 0.656, wins per 10: 7, avg checkers diff: 7.6
epoch: 380, loss = 1.012, wins per 10: 8, avg checkers diff: 7.0
epoch: 390, loss = 2.610, wins per 10: 8, avg checkers diff: 8.5
epoch: 400, loss = 1.648, wins per 10: 7, avg checkers diff: 5.1
finished testing
epoch: 410, loss = 0.462, wins per 10: 9, avg checkers diff: 10.9
epoch: 420, loss = 1.022, wins per 10: 8, avg checkers diff: 7.2
epoch: 430, loss = 1.319, wins per 10: 8, avg checkers diff: 7.9
epoch: 440, loss = 0.389, wins per 10: 7, avg checkers diff: 8.6
epoch: 450, loss = 2.040, wins per 10: 6, avg checkers diff: 2.7
epoch: 460, loss = 1.535, wins per 10: 7, avg checkers diff: 6.9
epoch: 470, loss = 0.637, wins per 10: 8, avg checkers diff: 9.1
epoch: 480, loss = 0.920, wins per 10: 8, avg checkers diff: 10.4
epoch: 490, loss = 0.978, wins per 10: 8, avg checkers diff: 9.5
epoch: 500, loss = 2.527, wins per 10: 7, avg checkers diff: 4.4
epoch: 510, loss = 1.333, wins per 10: 6, avg checkers diff: 4.8
epoch: 520, loss = 1.169, wins per 10: 5, avg checkers diff: 2.4
epoch: 530, loss = 1.322, wins per 10: 8, avg checkers diff: 7.7
epoch: 540, loss = 1.445, wins per 10: 8, avg checkers diff: 6.9
epoch: 550, loss = 0.811, wins per 10: 5, avg checkers diff: 0.2
epoch: 560, loss = 2.411, wins per 10: 10, avg checkers diff: 11.4
epoch: 570, loss = 1.070, wins per 10: 8, avg checkers diff: 7.0
epoch: 580, loss = 1.272, wins per 10: 9, avg checkers diff: 10.4
epoch: 590, loss = 1.079, wins per 10: 5, avg checkers diff: 2.5
epoch: 600, loss = 0.973, wins per 10: 7, avg checkers diff: 4.8
finished testing
epoch: 610, loss = 1.295, wins per 10: 7, avg checkers diff: 5.7
epoch: 620, loss = 1.494, wins per 10: 10, avg checkers diff: 10.0
epoch: 630, loss = 2.998, wins per 10: 9, avg checkers diff: 10.7
epoch: 640, loss = 1.845, wins per 10: 8, avg checkers diff: 9.1
epoch: 650, loss = 1.007, wins per 10: 5, avg checkers diff: 2.5
epoch: 660, loss = 1.742, wins per 10: 7, avg checkers diff: 5.2
epoch: 670, loss = 1.724, wins per 10: 7, avg checkers diff: 7.2
epoch: 680, loss = 2.347, wins per 10: 6, avg checkers diff: 3.9
epoch: 690, loss = 1.814, wins per 10: 9, avg checkers diff: 11.3
epoch: 700, loss = 1.815, wins per 10: 8, avg checkers diff: 9.5
epoch: 710, loss = 0.789, wins per 10: 8, avg checkers diff: 6.8
epoch: 720, loss = 1.344, wins per 10: 8, avg checkers diff: 8.6
epoch: 730, loss = 1.644, wins per 10: 9, avg checkers diff: 9.8
epoch: 740, loss = 1.384, wins per 10: 6, avg checkers diff: 3.8
epoch: 750, loss = 1.871, wins per 10: 7, avg checkers diff: 4.1
epoch: 760, loss = 3.891, wins per 10: 6, avg checkers diff: 3.9
epoch: 770, loss = 1.419, wins per 10: 6, avg checkers diff: 3.5
epoch: 780, loss = 2.128, wins per 10: 7, avg checkers diff: 6.4
epoch: 790, loss = 2.875, wins per 10: 8, avg checkers diff: 5.7
epoch: 800, loss = 2.146, wins per 10: 8, avg checkers diff: 5.0
finished testing
epoch: 810, loss = 1.810, wins per 10: 9, avg checkers diff: 9.8
epoch: 820, loss = 3.557, wins per 10: 8, avg checkers diff: 5.2
epoch: 830, loss = 1.712, wins per 10: 8, avg checkers diff: 5.0
epoch: 840, loss = 6.396, wins per 10: 6, avg checkers diff: 2.7
epoch: 850, loss = 2.489, wins per 10: 9, avg checkers diff: 11.3
epoch: 860, loss = 1.586, wins per 10: 9, avg checkers diff: 8.7
epoch: 870, loss = 2.348, wins per 10: 9, avg checkers diff: 11.4
epoch: 880, loss = 2.635, wins per 10: 7, avg checkers diff: 8.4
epoch: 890, loss = 0.954, wins per 10: 9, avg checkers diff: 10.0
epoch: 900, loss = 2.563, wins per 10: 7, avg checkers diff: 5.7
epoch: 910, loss = 2.465, wins per 10: 5, avg checkers diff: 1.9
epoch: 920, loss = 2.405, wins per 10: 7, avg checkers diff: 7.3
epoch: 930, loss = 7.084, wins per 10: 7, avg checkers diff: 5.1
epoch: 940, loss = 7.477, wins per 10: 7, avg checkers diff: 4.8
epoch: 950, loss = 2.938, wins per 10: 7, avg checkers diff: 3.3
epoch: 960, loss = 2.901, wins per 10: 6, avg checkers diff: 5.5
epoch: 970, loss = 3.282, wins per 10: 8, avg checkers diff: 8.2
epoch: 980, loss = 2.502, wins per 10: 7, avg checkers diff: 8.2
epoch: 990, loss = 1.821, wins per 10: 6, avg checkers diff: 4.9
epoch: 1000, loss = 3.237, wins per 10: 9, avg checkers diff: 8.6
finished testing
saved checkpoint
epoch: 1010, loss = 4.347, wins per 10: 8, avg checkers diff: 6.9
epoch: 1020, loss = 3.543, wins per 10: 8, avg checkers diff: 7.6
epoch: 1030, loss = 1.465, wins per 10: 8, avg checkers diff: 8.2
epoch: 1040, loss = 1.622, wins per 10: 9, avg checkers diff: 10.6
epoch: 1050, loss = 1.500, wins per 10: 10, avg checkers diff: 13.4
epoch: 1060, loss = 2.986, wins per 10: 7, avg checkers diff: 3.9
epoch: 1070, loss = 3.337, wins per 10: 6, avg checkers diff: 5.9
epoch: 1080, loss = 1.973, wins per 10: 7, avg checkers diff: 6.5
epoch: 1090, loss = 1.724, wins per 10: 9, avg checkers diff: 9.2
epoch: 1100, loss = 2.287, wins per 10: 8, avg checkers diff: 8.8
epoch: 1110, loss = 4.310, wins per 10: 10, avg checkers diff: 14.1
epoch: 1120, loss = 6.040, wins per 10: 7, avg checkers diff: 7.6
epoch: 1130, loss = 1.242, wins per 10: 10, avg checkers diff: 11.9
epoch: 1140, loss = 4.447, wins per 10: 9, avg checkers diff: 8.7
epoch: 1150, loss = 2.772, wins per 10: 9, avg checkers diff: 6.2
