epoch: 10, wins per 10: 6, avg checkers diff: 1.3
epoch: 20, wins per 10: 7, avg checkers diff: 6.8
epoch: 30, wins per 10: 4, avg checkers diff: -2.1
epoch: 40, wins per 10: 4, avg checkers diff: -2.4
epoch: 50, wins per 10: 4, avg checkers diff: -3.1
epoch: 60, wins per 10: 3, avg checkers diff: -4.5
epoch: 70, wins per 10: 5, avg checkers diff: 2.1
epoch: 80, wins per 10: 4, avg checkers diff: -3.5
epoch: 90, wins per 10: 5, avg checkers diff: 3.0
epoch: 100, wins per 100: 47, avg checkers diff: -0.18
epoch: 110, wins per 10: 12, avg checkers diff: 3.5
epoch: 120, wins per 10: 1, avg checkers diff: -10.4
