epoch: 10, wins per 10: 5, avg checkers diff: -2.8
epoch: 20, wins per 10: 5, avg checkers diff: 1.2
epoch: 30, wins per 10: 6, avg checkers diff: 3.7
epoch: 40, wins per 10: 7, avg checkers diff: 4.1
epoch: 50, wins per 10: 2, avg checkers diff: -5.5
epoch: 60, wins per 10: 5, avg checkers diff: 1.0
epoch: 70, wins per 10: 6, avg checkers diff: 0.7
epoch: 80, wins per 10: 5, avg checkers diff: 4.1
epoch: 90, wins per 10: 4, avg checkers diff: -0.5
epoch: 100, wins per 100: 48, avg checkers diff: 0.18
epoch: 110, wins per 10: 6, avg checkers diff: 1.0
epoch: 120, wins per 10: 3, avg checkers diff: -4.3
epoch: 130, wins per 10: 6, avg checkers diff: 3.0
epoch: 140, wins per 10: 7, avg checkers diff: 6.2
epoch: 150, wins per 10: 9, avg checkers diff: 7.4
epoch: 160, wins per 10: 4, avg checkers diff: -1.2
epoch: 170, wins per 10: 7, avg checkers diff: 7.4
epoch: 180, wins per 10: 8, avg checkers diff: 7.2
epoch: 190, wins per 10: 6, avg checkers diff: 0.7
epoch: 200, wins per 100: 64, avg checkers diff: 3.49
finished testing: 56.00000000000001 %
epoch: 210, wins per 10: 6, avg checkers diff: 2.1
epoch: 220, wins per 10: 4, avg checkers diff: -0.4
epoch: 230, wins per 10: 5, avg checkers diff: -0.9
epoch: 240, wins per 10: 7, avg checkers diff: 6.3
epoch: 250, wins per 10: 5, avg checkers diff: 1.3
epoch: 260, wins per 10: 5, avg checkers diff: 2.1
epoch: 270, wins per 10: 5, avg checkers diff: -0.1
epoch: 280, wins per 10: 8, avg checkers diff: 6.6
epoch: 290, wins per 10: 5, avg checkers diff: -1.1
epoch: 300, wins per 100: 57, avg checkers diff: 1.95
epoch: 310, wins per 10: 5, avg checkers diff: 3.2
epoch: 320, wins per 10: 6, avg checkers diff: 2.2
epoch: 330, wins per 10: 7, avg checkers diff: 5.5
epoch: 340, wins per 10: 7, avg checkers diff: 5.6
epoch: 350, wins per 10: 7, avg checkers diff: 4.3
epoch: 360, wins per 10: 6, avg checkers diff: 2.8
epoch: 370, wins per 10: 6, avg checkers diff: 2.0
epoch: 380, wins per 10: 3, avg checkers diff: -2.7
epoch: 390, wins per 10: 4, avg checkers diff: -2.6
epoch: 400, wins per 100: 57, avg checkers diff: 2.52
finished testing: 56.00000000000001 %
epoch: 410, loss = 1.784, wins per 10: 7, avg checkers diff: 7.2
epoch: 420, loss = 3.269, wins per 10: 9, avg checkers diff: 9.2
