epoch: 10, wins per 10: 6, avg checkers diff: 2.3
epoch: 20, wins per 10: 5, avg checkers diff: -0.1
epoch: 30, wins per 10: 6, avg checkers diff: 3.3
epoch: 40, wins per 10: 3, avg checkers diff: -3.5
epoch: 50, wins per 10: 5, avg checkers diff: -2.5
epoch: 60, wins per 10: 5, avg checkers diff: 0.7
epoch: 70, wins per 10: 5, avg checkers diff: 3.5
epoch: 80, wins per 10: 6, avg checkers diff: 4.1
epoch: 90, wins per 10: 4, avg checkers diff: -1.7
epoch: 100, wins per 100: 52, avg checkers diff: 1.07
epoch: 110, wins per 10: 6, avg checkers diff: 1.1
epoch: 120, wins per 10: 9, avg checkers diff: 9.8
epoch: 130, wins per 10: 7, avg checkers diff: 5.5
epoch: 140, wins per 10: 5, avg checkers diff: 0.1
epoch: 150, wins per 10: 7, avg checkers diff: 2.6
epoch: 160, wins per 10: 7, avg checkers diff: 5.8
epoch: 170, wins per 10: 7, avg checkers diff: 7.1
epoch: 180, wins per 10: 8, avg checkers diff: 7.5
epoch: 190, wins per 10: 7, avg checkers diff: 4.0
epoch: 200, wins per 100: 70, avg checkers diff: 4.77
finished testing: 72.0 %
epoch: 210, wins per 10: 6, avg checkers diff: 1.3
epoch: 220, wins per 10: 6, avg checkers diff: 3.9
epoch: 230, wins per 10: 5, avg checkers diff: 1.0
epoch: 240, wins per 10: 6, avg checkers diff: 1.4
epoch: 250, wins per 10: 7, avg checkers diff: 4.3
epoch: 260, wins per 10: 9, avg checkers diff: 7.4
epoch: 270, wins per 10: 5, avg checkers diff: 1.1
epoch: 280, wins per 10: 8, avg checkers diff: 6.0
epoch: 290, wins per 10: 7, avg checkers diff: 4.3
epoch: 300, wins per 100: 61, avg checkers diff: 2.62
epoch: 310, wins per 10: 6, avg checkers diff: 2.7
epoch: 320, wins per 10: 7, avg checkers diff: 1.2
epoch: 330, wins per 10: 5, avg checkers diff: 0.3
epoch: 340, wins per 10: 7, avg checkers diff: 5.0
epoch: 350, wins per 10: 5, avg checkers diff: 0.5
epoch: 360, wins per 10: 5, avg checkers diff: -0.6
epoch: 370, wins per 10: 4, avg checkers diff: -0.9
epoch: 380, wins per 10: 8, avg checkers diff: 9.5
epoch: 390, wins per 10: 7, avg checkers diff: 7.2
epoch: 400, wins per 100: 63, avg checkers diff: 3.41
finished testing: 57.99999999999999 %
epoch: 410, loss = 1.406, wins per 10: 6, avg checkers diff: 4.1
epoch: 420, loss = 1.695, wins per 10: 8, avg checkers diff: 10.8
epoch: 430, loss = 1.911, wins per 10: 8, avg checkers diff: 9.0
epoch: 440, loss = 2.550, wins per 10: 7, avg checkers diff: 5.7
epoch: 450, loss = 6.194, wins per 10: 8, avg checkers diff: 9.5
epoch: 460, loss = 4.079, wins per 10: 6, avg checkers diff: 1.6
epoch: 470, loss = 4.432, wins per 10: 7, avg checkers diff: 5.1
epoch: 480, loss = 4.541, wins per 10: 7, avg checkers diff: 4.0
epoch: 490, loss = 4.681, wins per 10: 6, avg checkers diff: 2.4
epoch: 500, loss = 10.779, wins per 100: 69, avg checkers diff: 5.53
epoch: 510, loss = 18.147, wins per 10: 7, avg checkers diff: 4.6
epoch: 520, loss = 27.277, wins per 10: 8, avg checkers diff: 7.6
epoch: 530, loss = 7.150, wins per 10: 6, avg checkers diff: 2.3
epoch: 540, loss = 16.349, wins per 10: 5, avg checkers diff: 1.8
epoch: 550, loss = 11.320, wins per 10: 6, avg checkers diff: 4.9
epoch: 560, loss = 9.671, wins per 10: 8, avg checkers diff: 5.8
epoch: 570, loss = 25.025, wins per 10: 7, avg checkers diff: 7.2
epoch: 580, loss = 23.391, wins per 10: 5, avg checkers diff: 0.7
epoch: 590, loss = 34.657, wins per 10: 7, avg checkers diff: 5.1
epoch: 600, loss = 14.904, wins per 100: 68, avg checkers diff: 5.31
finished testing: 76.0 %
epoch: 610, loss = 31.976, wins per 10: 9, avg checkers diff: 10.0
epoch: 620, loss = 16.178, wins per 10: 9, avg checkers diff: 10.9
epoch: 630, loss = 36.037, wins per 10: 5, avg checkers diff: 1.5
epoch: 640, loss = 64.339, wins per 10: 6, avg checkers diff: 3.5
epoch: 650, loss = 19.828, wins per 10: 7, avg checkers diff: 6.2
epoch: 660, loss = 38.859, wins per 10: 6, avg checkers diff: 3.1
epoch: 670, loss = 27.627, wins per 10: 8, avg checkers diff: 8.2
epoch: 680, loss = 41.195, wins per 10: 10, avg checkers diff: 12.5
epoch: 690, loss = 88.395, wins per 10: 7, avg checkers diff: 8.8
epoch: 700, loss = 50.955, wins per 100: 75, avg checkers diff: 7.3
epoch: 710, loss = 49.732, wins per 10: 6, avg checkers diff: 4.5
epoch: 720, loss = 44.329, wins per 10: 7, avg checkers diff: 6.3
epoch: 730, loss = 101.431, wins per 10: 9, avg checkers diff: 9.3
