epoch: 10, wins per 10: 4, avg checkers diff: -5.7
epoch: 20, wins per 10: 6, avg checkers diff: 1.7
epoch: 30, wins per 10: 8, avg checkers diff: 4.7
epoch: 40, wins per 10: 4, avg checkers diff: -1.5
epoch: 50, wins per 10: 7, avg checkers diff: 5.1
epoch: 60, wins per 10: 6, avg checkers diff: 0.4
epoch: 70, wins per 10: 6, avg checkers diff: 3.5
epoch: 80, wins per 10: 6, avg checkers diff: 5.2
epoch: 90, wins per 10: 4, avg checkers diff: -3.5
epoch: 100, wins per 100: 57, avg checkers diff: 1.01
epoch: 110, wins per 10: 5, avg checkers diff: -2.0
epoch: 120, wins per 10: 7, avg checkers diff: 3.0
epoch: 130, wins per 10: 6, avg checkers diff: 2.8
epoch: 140, wins per 10: 4, avg checkers diff: -3.2
epoch: 150, wins per 10: 7, avg checkers diff: 4.1
epoch: 160, wins per 10: 7, avg checkers diff: 6.3
epoch: 170, wins per 10: 6, avg checkers diff: 4.1
epoch: 180, wins per 10: 5, avg checkers diff: 0.3
epoch: 190, wins per 10: 4, avg checkers diff: -0.4
epoch: 200, wins per 100: 59, avg checkers diff: 2.2
finished testing: 56.00000000000001 %
epoch: 210, wins per 10: 5, avg checkers diff: -1.8
epoch: 220, wins per 10: 4, avg checkers diff: -4.5
epoch: 230, wins per 10: 4, avg checkers diff: -2.3
epoch: 240, wins per 10: 6, avg checkers diff: 2.4
epoch: 250, wins per 10: 6, avg checkers diff: 1.3
epoch: 260, wins per 10: 5, avg checkers diff: -0.1
epoch: 270, wins per 10: 6, avg checkers diff: 1.6
epoch: 280, wins per 10: 6, avg checkers diff: 2.5
epoch: 290, wins per 10: 5, avg checkers diff: 0.6
epoch: 300, wins per 100: 51, avg checkers diff: -0.08
epoch: 310, wins per 10: 7, avg checkers diff: 3.7
epoch: 320, wins per 10: 6, avg checkers diff: 1.5
epoch: 330, wins per 10: 6, avg checkers diff: 0.9
epoch: 340, wins per 10: 6, avg checkers diff: 3.6
epoch: 350, wins per 10: 6, avg checkers diff: 2.3
epoch: 360, wins per 10: 5, avg checkers diff: -1.6
epoch: 370, wins per 10: 4, avg checkers diff: -2.3
epoch: 380, wins per 10: 9, avg checkers diff: 7.8
epoch: 390, wins per 10: 7, avg checkers diff: 6.2
epoch: 400, wins per 100: 59, avg checkers diff: 1.97
finished testing: 55.00000000000001 %
epoch: 410, loss = 1.652, wins per 10: 8, avg checkers diff: 8.1
epoch: 420, loss = 11.954, wins per 10: 8, avg checkers diff: 8.3
epoch: 430, loss = 2.022, wins per 10: 9, avg checkers diff: 12.8
epoch: 440, loss = 2.524, wins per 10: 8, avg checkers diff: 7.8
epoch: 450, loss = 4.598, wins per 10: 7, avg checkers diff: 6.6
epoch: 460, loss = 7.235, wins per 10: 6, avg checkers diff: 4.0
epoch: 470, loss = 2.470, wins per 10: 7, avg checkers diff: 7.5
epoch: 480, loss = 3.595, wins per 10: 6, avg checkers diff: 5.0
epoch: 490, loss = 2.521, wins per 10: 9, avg checkers diff: 10.9
epoch: 500, loss = 7.774, wins per 100: 77, avg checkers diff: 8.09
epoch: 510, loss = 4.349, wins per 10: 9, avg checkers diff: 10.1
epoch: 520, loss = 9.455, wins per 10: 10, avg checkers diff: 11.3
epoch: 530, loss = 7.248, wins per 10: 8, avg checkers diff: 9.7
epoch: 540, loss = 11.518, wins per 10: 8, avg checkers diff: 7.0
epoch: 550, loss = 19.459, wins per 10: 7, avg checkers diff: 7.3
epoch: 560, loss = 14.055, wins per 10: 7, avg checkers diff: 6.5
epoch: 570, loss = 23.870, wins per 10: 7, avg checkers diff: 6.6
epoch: 580, loss = 21.077, wins per 10: 7, avg checkers diff: 5.2
epoch: 590, loss = 18.347, wins per 10: 7, avg checkers diff: 5.9
epoch: 600, loss = 15.156, wins per 100: 79, avg checkers diff: 8.08
finished testing: 86.0 %
epoch: 610, loss = 13.445, wins per 10: 9, avg checkers diff: 11.5
epoch: 620, loss = 53.456, wins per 10: 10, avg checkers diff: 8.8
epoch: 630, loss = 28.129, wins per 10: 9, avg checkers diff: 12.3
epoch: 640, loss = 15.273, wins per 10: 9, avg checkers diff: 12.2
epoch: 650, loss = 16.914, wins per 10: 7, avg checkers diff: 4.0
epoch: 660, loss = 65.637, wins per 10: 10, avg checkers diff: 12.7
epoch: 670, loss = 17.864, wins per 10: 8, avg checkers diff: 9.5
epoch: 680, loss = 35.229, wins per 10: 7, avg checkers diff: 6.3
epoch: 690, loss = 38.185, wins per 10: 9, avg checkers diff: 10.7
epoch: 700, loss = 70.449, wins per 100: 87, avg checkers diff: 9.97
epoch: 710, loss = 71.880, wins per 10: 8, avg checkers diff: 8.0
epoch: 720, loss = 101.803, wins per 10: 9, avg checkers diff: 9.9
epoch: 730, loss = 81.413, wins per 10: 10, avg checkers diff: 13.7
