epoch: 10, wins per 10: 5, avg checkers diff: -0.4
epoch: 20, wins per 10: 7, avg checkers diff: 2.9
epoch: 30, wins per 10: 6, avg checkers diff: 2.1
epoch: 40, wins per 10: 8, avg checkers diff: 8.6
epoch: 50, wins per 10: 10, avg checkers diff: 11.3
epoch: 60, wins per 10: 8, avg checkers diff: 8.8
epoch: 70, wins per 10: 5, avg checkers diff: -0.5
epoch: 80, wins per 10: 6, avg checkers diff: 1.0
epoch: 90, wins per 10: 7, avg checkers diff: 7.3
epoch: 100, wins per 100: 66, avg checkers diff: 4.07
epoch: 110, wins per 10: 5, avg checkers diff: 1.7
epoch: 120, wins per 10: 6, avg checkers diff: 2.3
epoch: 130, wins per 10: 7, avg checkers diff: 4.7
epoch: 140, wins per 10: 5, avg checkers diff: 2.2
epoch: 150, wins per 10: 9, avg checkers diff: 8.7
epoch: 160, wins per 10: 5, avg checkers diff: 3.5
epoch: 170, wins per 10: 5, avg checkers diff: 1.7
epoch: 180, wins per 10: 5, avg checkers diff: 1.1
epoch: 190, wins per 10: 5, avg checkers diff: 2.7
epoch: 200, wins per 100: 60, avg checkers diff: 3.5
finished testing: 64.0 %
epoch: 210, wins per 10: 6, avg checkers diff: 2.1
epoch: 220, wins per 10: 5, avg checkers diff: -0.8
epoch: 230, wins per 10: 6, avg checkers diff: 5.3
epoch: 240, wins per 10: 8, avg checkers diff: 6.6
epoch: 250, wins per 10: 6, avg checkers diff: 4.4
epoch: 260, wins per 10: 6, avg checkers diff: 4.6
epoch: 270, wins per 10: 7, avg checkers diff: 3.1
epoch: 280, wins per 10: 6, avg checkers diff: 2.3
epoch: 290, wins per 10: 7, avg checkers diff: 4.7
epoch: 300, wins per 100: 64, avg checkers diff: 3.62
epoch: 310, wins per 10: 8, avg checkers diff: 8.4
epoch: 320, wins per 10: 6, avg checkers diff: 3.0
epoch: 330, wins per 10: 6, avg checkers diff: 3.7
epoch: 340, wins per 10: 8, avg checkers diff: 9.1
epoch: 350, wins per 10: 8, avg checkers diff: 7.9
epoch: 360, wins per 10: 6, avg checkers diff: 4.4
epoch: 370, wins per 10: 7, avg checkers diff: 5.6
epoch: 380, wins per 10: 4, avg checkers diff: -1.7
epoch: 390, wins per 10: 8, avg checkers diff: 7.5
epoch: 400, wins per 100: 67, avg checkers diff: 5.09
game = 48
