epoch: 10, wins per 10: 6, avg checkers diff: 2.4
epoch: 20, wins per 10: 6, avg checkers diff: 4.8
epoch: 30, wins per 10: 5, avg checkers diff: 1.5
epoch: 40, wins per 10: 7, avg checkers diff: 7.8
epoch: 50, wins per 10: 4, avg checkers diff: -2.3
epoch: 60, wins per 10: 6, avg checkers diff: 2.5
epoch: 70, wins per 10: 4, avg checkers diff: -1.8
epoch: 80, wins per 10: 7, avg checkers diff: 5.2
epoch: 90, wins per 10: 2, avg checkers diff: -8.6
epoch: 100, wins per 100: 54, avg checkers diff: 1.69
epoch: 110, wins per 10: 6, avg checkers diff: 2.1
epoch: 120, wins per 10: 7, avg checkers diff: 6.0
epoch: 130, wins per 10: 5, avg checkers diff: -0.1
epoch: 140, wins per 10: 5, avg checkers diff: -1.3
epoch: 150, wins per 10: 5, avg checkers diff: -0.5
epoch: 160, wins per 10: 8, avg checkers diff: 5.9
epoch: 170, wins per 10: 7, avg checkers diff: 5.2
epoch: 180, wins per 10: 5, avg checkers diff: 2.5
epoch: 190, wins per 10: 8, avg checkers diff: 8.0
epoch: 200, wins per 100: 64, avg checkers diff: 3.72
finished testing: 59.0 %
epoch: 210, wins per 10: 3, avg checkers diff: -4.3
epoch: 220, wins per 10: 1, avg checkers diff: -7.9
epoch: 230, wins per 10: 5, avg checkers diff: -0.3
epoch: 240, wins per 10: 7, avg checkers diff: 7.9
epoch: 250, wins per 10: 7, avg checkers diff: 4.8
epoch: 260, wins per 10: 5, avg checkers diff: 0.5
epoch: 270, wins per 10: 6, avg checkers diff: 5.0
epoch: 280, wins per 10: 5, avg checkers diff: 0.9
epoch: 290, wins per 10: 4, avg checkers diff: -4.0
epoch: 300, wins per 100: 48, avg checkers diff: 0.15
epoch: 310, wins per 10: 6, avg checkers diff: 2.9
epoch: 320, wins per 10: 4, avg checkers diff: -1.9
epoch: 330, wins per 10: 5, avg checkers diff: 0.3
epoch: 340, wins per 10: 5, avg checkers diff: -1.1
epoch: 350, wins per 10: 6, avg checkers diff: 0.4
epoch: 360, wins per 10: 4, avg checkers diff: -2.4
epoch: 370, wins per 10: 5, avg checkers diff: 0.1
epoch: 380, wins per 10: 4, avg checkers diff: -1.2
epoch: 390, wins per 10: 4, avg checkers diff: -0.7
epoch: 400, wins per 100: 51, avg checkers diff: 0.6
finished testing: 57.99999999999999 %
epoch: 410, wins per 10: 6, avg checkers diff: 1.0
epoch: 420, wins per 10: 5, avg checkers diff: 3.1
epoch: 430, wins per 10: 6, avg checkers diff: 3.5
epoch: 440, wins per 10: 5, avg checkers diff: 0.5
epoch: 450, wins per 10: 7, avg checkers diff: 3.2
epoch: 460, wins per 10: 7, avg checkers diff: 6.0
epoch: 470, wins per 10: 7, avg checkers diff: 5.7
epoch: 480, wins per 10: 5, avg checkers diff: -0.2
epoch: 490, wins per 10: 4, avg checkers diff: -0.8
epoch: 500, wins per 100: 58, avg checkers diff: 2.36
epoch: 510, loss = 1.451, wins per 10: 6, avg checkers diff: 4.2
epoch: 520, loss = 3.293, wins per 10: 3, avg checkers diff: -5.0
epoch: 530, loss = 2.460, wins per 10: 7, avg checkers diff: 3.5
epoch: 540, loss = 2.371, wins per 10: 7, avg checkers diff: 3.9
epoch: 550, loss = 3.004, wins per 10: 7, avg checkers diff: 2.8
epoch: 560, loss = 2.504, wins per 10: 4, avg checkers diff: -0.2
epoch: 570, loss = 3.055, wins per 10: 6, avg checkers diff: 3.9
epoch: 580, loss = 5.701, wins per 10: 7, avg checkers diff: 8.4
epoch: 590, loss = 3.570, wins per 10: 8, avg checkers diff: 6.2
epoch: 600, loss = 2.608, wins per 100: 61, avg checkers diff: 3.25
finished testing: 71.0 %
epoch: 610, loss = 3.283, wins per 10: 7, avg checkers diff: 5.2
epoch: 620, loss = 14.214, wins per 10: 5, avg checkers diff: -0.3
epoch: 630, loss = 4.561, wins per 10: 8, avg checkers diff: 7.5
epoch: 640, loss = 6.921, wins per 10: 7, avg checkers diff: 5.5
epoch: 650, loss = 3.712, wins per 10: 7, avg checkers diff: 4.7
epoch: 660, loss = 8.141, wins per 10: 5, avg checkers diff: 1.0
epoch: 670, loss = 4.585, wins per 10: 9, avg checkers diff: 10.6
epoch: 680, loss = 7.736, wins per 10: 8, avg checkers diff: 6.7
epoch: 690, loss = 5.931, wins per 10: 9, avg checkers diff: 11.2
epoch: 700, loss = 13.027, wins per 100: 74, avg checkers diff: 6.45
epoch: 710, loss = 9.629, wins per 10: 7, avg checkers diff: 4.5
epoch: 720, loss = 2.637, wins per 10: 5, avg checkers diff: 2.1
epoch: 730, loss = 7.092, wins per 10: 9, avg checkers diff: 8.8
epoch: 740, loss = 5.646, wins per 10: 9, avg checkers diff: 10.8
epoch: 750, loss = 6.101, wins per 10: 6, avg checkers diff: 3.3
epoch: 760, loss = 10.503, wins per 10: 8, avg checkers diff: 9.7
epoch: 770, loss = 18.253, wins per 10: 6, avg checkers diff: 2.5
epoch: 780, loss = 9.356, wins per 10: 4, avg checkers diff: -1.9
epoch: 790, loss = 7.304, wins per 10: 8, avg checkers diff: 10.0
epoch: 800, loss = 14.711, wins per 100: 68, avg checkers diff: 5.5
finished testing: 77.0 %
epoch: 810, loss = 11.638, wins per 10: 8, avg checkers diff: 9.0
epoch: 820, loss = 16.474, wins per 10: 9, avg checkers diff: 9.3
epoch: 830, loss = 20.094, wins per 10: 6, avg checkers diff: 4.5
epoch: 840, loss = 24.323, wins per 10: 3, avg checkers diff: -5.3
epoch: 850, loss = 11.311, wins per 10: 4, avg checkers diff: 0.3
epoch: 860, loss = 10.936, wins per 10: 10, avg checkers diff: 10.7
epoch: 870, loss = 16.419, wins per 10: 6, avg checkers diff: 2.9
epoch: 880, loss = 5.412, wins per 10: 10, avg checkers diff: 14.3
epoch: 890, loss = 16.962, wins per 10: 6, avg checkers diff: 4.5
epoch: 900, loss = 11.336, wins per 100: 70, avg checkers diff: 5.81
epoch: 910, loss = 13.769, wins per 10: 8, avg checkers diff: 8.3
epoch: 920, loss = 24.444, wins per 10: 9, avg checkers diff: 8.9
epoch: 930, loss = 9.201, wins per 10: 9, avg checkers diff: 11.1
epoch: 940, loss = 20.947, wins per 10: 6, avg checkers diff: 3.9
epoch: 950, loss = 6.905, wins per 10: 6, avg checkers diff: 3.2
epoch: 960, loss = 18.736, wins per 10: 8, avg checkers diff: 10.2
epoch: 970, loss = 16.007, wins per 10: 7, avg checkers diff: 5.9
epoch: 980, loss = 18.190, wins per 10: 4, avg checkers diff: -0.5
epoch: 990, loss = 29.200, wins per 10: 8, avg checkers diff: 6.5
epoch: 1000, loss = 21.156, wins per 100: 74, avg checkers diff: 6.83
finished testing: 72.0 %
saved checkpoint
epoch: 1010, loss = 10.532, wins per 10: 9, avg checkers diff: 9.7
epoch: 1020, loss = 39.211, wins per 10: 8, avg checkers diff: 9.4
epoch: 1030, loss = 17.583, wins per 10: 7, avg checkers diff: 6.8
epoch: 1040, loss = 14.120, wins per 10: 7, avg checkers diff: 7.0
epoch: 1050, loss = 25.271, wins per 10: 8, avg checkers diff: 3.4
epoch: 1060, loss = 22.775, wins per 10: 6, avg checkers diff: 3.9
epoch: 1070, loss = 9.615, wins per 10: 5, avg checkers diff: 3.5
epoch: 1080, loss = 20.973, wins per 10: 8, avg checkers diff: 9.6
epoch: 1090, loss = 16.676, wins per 10: 9, avg checkers diff: 4.7
epoch: 1100, loss = 11.039, wins per 100: 75, avg checkers diff: 6.76
epoch: 1110, loss = 28.509, wins per 10: 6, avg checkers diff: 1.7
epoch: 1120, loss = 14.317, wins per 10: 7, avg checkers diff: 6.6
epoch: 1130, loss = 12.140, wins per 10: 6, avg checkers diff: 5.0
epoch: 1140, loss = 35.997, wins per 10: 10, avg checkers diff: 13.5
epoch: 1150, loss = 32.119, wins per 10: 6, avg checkers diff: 1.9
epoch: 1160, loss = 16.929, wins per 10: 6, avg checkers diff: 4.5
epoch: 1170, loss = 13.828, wins per 10: 6, avg checkers diff: 3.8
epoch: 1180, loss = 12.463, wins per 10: 7, avg checkers diff: 5.8
epoch: 1190, loss = 9.270, wins per 10: 8, avg checkers diff: 8.2
epoch: 1200, loss = 30.741, wins per 100: 69, avg checkers diff: 5.8
finished testing: 74.0 %
epoch: 1210, loss = 27.325, wins per 10: 7, avg checkers diff: 7.0
epoch: 1220, loss = 32.971, wins per 10: 7, avg checkers diff: 4.0
epoch: 1230, loss = 29.186, wins per 10: 9, avg checkers diff: 10.1
epoch: 1240, loss = 21.873, wins per 10: 7, avg checkers diff: 4.4
epoch: 1250, loss = 66.884, wins per 10: 7, avg checkers diff: 3.9
epoch: 1260, loss = 11.531, wins per 10: 4, avg checkers diff: -2.9
epoch: 1270, loss = 13.374, wins per 10: 8, avg checkers diff: 6.9
epoch: 1280, loss = 23.814, wins per 10: 8, avg checkers diff: 7.9
epoch: 1290, loss = 32.235, wins per 10: 7, avg checkers diff: 4.2
epoch: 1300, loss = 22.627, wins per 100: 71, avg checkers diff: 4.91
epoch: 1310, loss = 16.277, wins per 10: 9, avg checkers diff: 11.9
epoch: 1320, loss = 11.879, wins per 10: 9, avg checkers diff: 9.1
epoch: 1330, loss = 16.504, wins per 10: 7, avg checkers diff: 7.6
epoch: 1340, loss = 28.438, wins per 10: 7, avg checkers diff: 8.5
epoch: 1350, loss = 15.482, wins per 10: 5, avg checkers diff: 2.5
epoch: 1360, loss = 18.325, wins per 10: 8, avg checkers diff: 8.6
epoch: 1370, loss = 21.274, wins per 10: 7, avg checkers diff: 3.3
epoch: 1380, loss = 22.187, wins per 10: 5, avg checkers diff: 1.9
epoch: 1390, loss = 34.625, wins per 10: 10, avg checkers diff: 12.4
epoch: 1400, loss = 34.442, wins per 100: 72, avg checkers diff: 6.77
finished testing: 72.0 %
epoch: 1410, loss = 30.095, wins per 10: 8, avg checkers diff: 5.7
epoch: 1420, loss = 30.757, wins per 10: 7, avg checkers diff: 5.0
epoch: 1430, loss = 31.859, wins per 10: 6, avg checkers diff: 5.5
epoch: 1440, loss = 19.536, wins per 10: 8, avg checkers diff: 6.5
epoch: 1450, loss = 37.535, wins per 10: 8, avg checkers diff: 8.5
epoch: 1460, loss = 16.332, wins per 10: 7, avg checkers diff: 8.1
epoch: 1470, loss = 56.146, wins per 10: 8, avg checkers diff: 6.9
epoch: 1480, loss = 30.136, wins per 10: 8, avg checkers diff: 7.6
epoch: 1490, loss = 41.085, wins per 10: 8, avg checkers diff: 8.8
epoch: 1500, loss = 17.630, wins per 100: 73, avg checkers diff: 6.4
epoch: 1510, loss = 27.457, wins per 10: 7, avg checkers diff: 5.2
epoch: 1520, loss = 61.321, wins per 10: 9, avg checkers diff: 11.1
epoch: 1530, loss = 38.669, wins per 10: 7, avg checkers diff: 5.6
epoch: 1540, loss = 29.925, wins per 10: 8, avg checkers diff: 6.9
epoch: 1550, loss = 30.349, wins per 10: 5, avg checkers diff: 2.9
epoch: 1560, loss = 29.346, wins per 10: 7, avg checkers diff: 4.2
epoch: 1570, loss = 23.396, wins per 10: 9, avg checkers diff: 8.8
epoch: 1580, loss = 39.373, wins per 10: 5, avg checkers diff: 0.7
epoch: 1590, loss = 13.045, wins per 10: 9, avg checkers diff: 9.8
epoch: 1600, loss = 26.169, wins per 100: 70, avg checkers diff: 5.17
finished testing: 75.0 %
epoch: 1610, loss = 43.190, wins per 10: 8, avg checkers diff: 8.2
epoch: 1620, loss = 35.023, wins per 10: 7, avg checkers diff: 5.0
epoch: 1630, loss = 63.069, wins per 10: 9, avg checkers diff: 10.5
epoch: 1640, loss = 55.695, wins per 10: 8, avg checkers diff: 10.0
epoch: 1650, loss = 24.220, wins per 10: 7, avg checkers diff: 6.4
epoch: 1660, loss = 53.090, wins per 10: 6, avg checkers diff: 4.6
epoch: 1670, loss = 49.090, wins per 10: 8, avg checkers diff: 8.7
epoch: 1680, loss = 25.050, wins per 10: 10, avg checkers diff: 10.0
epoch: 1690, loss = 31.379, wins per 10: 8, avg checkers diff: 7.4
epoch: 1700, loss = 101.754, wins per 100: 77, avg checkers diff: 7.77
epoch: 1710, loss = 79.045, wins per 10: 9, avg checkers diff: 8.3
epoch: 1720, loss = 63.283, wins per 10: 7, avg checkers diff: 3.4
epoch: 1730, loss = 49.513, wins per 10: 6, avg checkers diff: 6.1
epoch: 1740, loss = 30.727, wins per 10: 7, avg checkers diff: 7.4
epoch: 1750, loss = 52.986, wins per 10: 8, avg checkers diff: 10.3
epoch: 1760, loss = 94.031, wins per 10: 8, avg checkers diff: 6.4
epoch: 1770, loss = 60.544, wins per 10: 6, avg checkers diff: 5.7
epoch: 1780, loss = 65.141, wins per 10: 10, avg checkers diff: 9.6
epoch: 1790, loss = 63.303, wins per 10: 4, avg checkers diff: -0.8
epoch: 1800, loss = 34.419, wins per 100: 73, avg checkers diff: 6.53
finished testing: 72.0 %
epoch: 1810, loss = 44.729, wins per 10: 8, avg checkers diff: 7.6
epoch: 1820, loss = 66.810, wins per 10: 7, avg checkers diff: 6.8
epoch: 1830, loss = 25.031, wins per 10: 8, avg checkers diff: 6.2
epoch: 1840, loss = 83.817, wins per 10: 9, avg checkers diff: 9.3
epoch: 1850, loss = 29.228, wins per 10: 7, avg checkers diff: 5.5
epoch: 1860, loss = 84.295, wins per 10: 9, avg checkers diff: 10.8
epoch: 1870, loss = 36.712, wins per 10: 9, avg checkers diff: 5.9
epoch: 1880, loss = 82.898, wins per 10: 5, avg checkers diff: -0.2
epoch: 1890, loss = 27.543, wins per 10: 5, avg checkers diff: 1.5
epoch: 1900, loss = 44.317, wins per 100: 74, avg checkers diff: 5.95
epoch: 1910, loss = 63.196, wins per 10: 10, avg checkers diff: 12.4
epoch: 1920, loss = 57.543, wins per 10: 7, avg checkers diff: 7.5
epoch: 1930, loss = 36.408, wins per 10: 6, avg checkers diff: 2.9
epoch: 1940, loss = 112.702, wins per 10: 8, avg checkers diff: 4.4
epoch: 1950, loss = 228.349, wins per 10: 4, avg checkers diff: -0.8
epoch: 1960, loss = 59.242, wins per 10: 5, avg checkers diff: 1.4
epoch: 1970, loss = 121.875, wins per 10: 5, avg checkers diff: 0.0
epoch: 1980, loss = 102.717, wins per 10: 7, avg checkers diff: 3.5
epoch: 1990, loss = 17.933, wins per 10: 4, avg checkers diff: -3.0
epoch: 2000, loss = 80.995, wins per 100: 63, avg checkers diff: 3.16
finished testing: 56.00000000000001 %
saved checkpoint
epoch: 2010, loss = 100.791, wins per 10: 7, avg checkers diff: 8.7
epoch: 2020, loss = 53.213, wins per 10: 4, avg checkers diff: 0.1
epoch: 2030, loss = 83.381, wins per 10: 6, avg checkers diff: 1.5
epoch: 2040, loss = 68.382, wins per 10: 5, avg checkers diff: 1.0
epoch: 2050, loss = 82.969, wins per 10: 6, avg checkers diff: 1.9
epoch: 2060, loss = 41.946, wins per 10: 8, avg checkers diff: 5.2
epoch: 2070, loss = 15.125, wins per 10: 7, avg checkers diff: 8.3
epoch: 2080, loss = 45.178, wins per 10: 7, avg checkers diff: 2.6
epoch: 2090, loss = 51.128, wins per 10: 7, avg checkers diff: 0.8
epoch: 2100, loss = 201.769, wins per 100: 65, avg checkers diff: 3.79
epoch: 2110, loss = 120.599, wins per 10: 5, avg checkers diff: 1.6
epoch: 2120, loss = 62.216, wins per 10: 6, avg checkers diff: 5.3
epoch: 2130, loss = 55.793, wins per 10: 4, avg checkers diff: -2.9
epoch: 2140, loss = 87.162, wins per 10: 6, avg checkers diff: 0.0
epoch: 2150, loss = 100.371, wins per 10: 4, avg checkers diff: -1.8
epoch: 2160, loss = 147.992, wins per 10: 5, avg checkers diff: 0.0
epoch: 2170, loss = 68.405, wins per 10: 7, avg checkers diff: 6.7
epoch: 2180, loss = 45.024, wins per 10: 7, avg checkers diff: 3.6
epoch: 2190, loss = 99.898, wins per 10: 6, avg checkers diff: 2.6
epoch: 2200, loss = 47.330, wins per 100: 57, avg checkers diff: 1.94
finished testing: 68.0 %
epoch: 2210, loss = 131.074, wins per 10: 7, avg checkers diff: 7.0
epoch: 2220, loss = 111.661, wins per 10: 9, avg checkers diff: 10.3
epoch: 2230, loss = 57.326, wins per 10: 7, avg checkers diff: 7.1
epoch: 2240, loss = 88.719, wins per 10: 7, avg checkers diff: 6.6
epoch: 2250, loss = 71.506, wins per 10: 6, avg checkers diff: 0.8
epoch: 2260, loss = 196.805, wins per 10: 8, avg checkers diff: 6.1
epoch: 2270, loss = 84.251, wins per 10: 8, avg checkers diff: 7.3
epoch: 2280, loss = 68.361, wins per 10: 8, avg checkers diff: 9.2
epoch: 2290, loss = 90.844, wins per 10: 3, avg checkers diff: -2.3
epoch: 2300, loss = 129.379, wins per 100: 73, avg checkers diff: 6.01
epoch: 2310, loss = 87.629, wins per 10: 5, avg checkers diff: 1.6
epoch: 2320, loss = 151.353, wins per 10: 7, avg checkers diff: 3.9
epoch: 2330, loss = 173.457, wins per 10: 7, avg checkers diff: 6.8
epoch: 2340, loss = 42.573, wins per 10: 6, avg checkers diff: 4.4
epoch: 2350, loss = 54.496, wins per 10: 6, avg checkers diff: -0.2
epoch: 2360, loss = 86.122, wins per 10: 6, avg checkers diff: 4.4
epoch: 2370, loss = 128.998, wins per 10: 7, avg checkers diff: 5.4
epoch: 2380, loss = 134.729, wins per 10: 7, avg checkers diff: 4.3
epoch: 2390, loss = 103.619, wins per 10: 9, avg checkers diff: 5.9
epoch: 2400, loss = 184.657, wins per 100: 66, avg checkers diff: 3.84
finished testing: 65.0 %
epoch: 2410, loss = 101.595, wins per 10: 5, avg checkers diff: 2.9
epoch: 2420, loss = 229.681, wins per 10: 7, avg checkers diff: 4.7
epoch: 2430, loss = 127.153, wins per 10: 8, avg checkers diff: 8.2
epoch: 2440, loss = 76.389, wins per 10: 6, avg checkers diff: 3.2
epoch: 2450, loss = 70.530, wins per 10: 5, avg checkers diff: 2.0
epoch: 2460, loss = 139.047, wins per 10: 7, avg checkers diff: 4.7
epoch: 2470, loss = 115.099, wins per 10: 5, avg checkers diff: 1.3
epoch: 2480, loss = 48.436, wins per 10: 6, avg checkers diff: 0.9
epoch: 2490, loss = 89.306, wins per 10: 4, avg checkers diff: -1.6
epoch: 2500, loss = 127.217, wins per 100: 58, avg checkers diff: 2.59
epoch: 2510, loss = 112.702, wins per 10: 9, avg checkers diff: 7.8
epoch: 2520, loss = 86.573, wins per 10: 8, avg checkers diff: 6.4
epoch: 2530, loss = 185.457, wins per 10: 8, avg checkers diff: 7.6
epoch: 2540, loss = 72.361, wins per 10: 7, avg checkers diff: 6.2
epoch: 2550, loss = 193.952, wins per 10: 8, avg checkers diff: 6.9
epoch: 2560, loss = 111.431, wins per 10: 9, avg checkers diff: 10.6
epoch: 2570, loss = 182.096, wins per 10: 8, avg checkers diff: 6.8
epoch: 2580, loss = 137.846, wins per 10: 8, avg checkers diff: 8.3
epoch: 2590, loss = 157.762, wins per 10: 7, avg checkers diff: 3.2
epoch: 2600, loss = 155.193, wins per 100: 78, avg checkers diff: 6.74
finished testing: 63.0 %
epoch: 2610, loss = 164.919, wins per 10: 9, avg checkers diff: 8.4
epoch: 2620, loss = 131.491, wins per 10: 9, avg checkers diff: 9.9
epoch: 2630, loss = 119.349, wins per 10: 2, avg checkers diff: -5.1
epoch: 2640, loss = 275.315, wins per 10: 7, avg checkers diff: 2.6
epoch: 2650, loss = 260.009, wins per 10: 3, avg checkers diff: -2.2
epoch: 2660, loss = 101.337, wins per 10: 7, avg checkers diff: 1.7
epoch: 2670, loss = 112.952, wins per 10: 7, avg checkers diff: 4.1
epoch: 2680, loss = 141.973, wins per 10: 5, avg checkers diff: 0.4
epoch: 2690, loss = 104.729, wins per 10: 7, avg checkers diff: 5.2
epoch: 2700, loss = 183.878, wins per 100: 63, avg checkers diff: 2.93
epoch: 2710, loss = 124.980, wins per 10: 6, avg checkers diff: 4.2
epoch: 2720, loss = 298.651, wins per 10: 6, avg checkers diff: 0.4
epoch: 2730, loss = 169.867, wins per 10: 6, avg checkers diff: 3.3
epoch: 2740, loss = 145.863, wins per 10: 6, avg checkers diff: 2.7
epoch: 2750, loss = 362.185, wins per 10: 6, avg checkers diff: 4.3
epoch: 2760, loss = 341.258, wins per 10: 5, avg checkers diff: -1.3
epoch: 2770, loss = 204.689, wins per 10: 7, avg checkers diff: 7.0
