epoch: 10, wins per 10: 6, avg checkers diff: -0.5
epoch: 20, wins per 10: 7, avg checkers diff: 3.7
epoch: 30, wins per 10: 6, avg checkers diff: 4.0
epoch: 40, wins per 10: 6, avg checkers diff: 2.3
epoch: 50, wins per 10: 4, avg checkers diff: -2.3
epoch: 60, wins per 10: 4, avg checkers diff: -2.9
epoch: 70, wins per 10: 3, avg checkers diff: -4.0
epoch: 80, wins per 10: 8, avg checkers diff: 5.9
epoch: 90, wins per 10: 4, avg checkers diff: 1.3
epoch: 100, wins per 100: 55, avg checkers diff: 1.04
epoch: 110, wins per 10: 7, avg checkers diff: 5.1
epoch: 120, wins per 10: 4, avg checkers diff: -3.8
