epoch: 10, wins per 10: 0, avg checkers diff: -16.5
epoch: 20, wins per 10: 0, avg checkers diff: -13.3
epoch: 30, wins per 10: 1, avg checkers diff: -13.3
epoch: 40, wins per 10: 1, avg checkers diff: -13.2
epoch: 50, wins per 10: 0, avg checkers diff: -13.5
epoch: 60, wins per 10: 1, avg checkers diff: -11.5
epoch: 70, wins per 10: 0, avg checkers diff: -15.0
epoch: 80, wins per 10: 1, avg checkers diff: -12.0
epoch: 90, wins per 10: 0, avg checkers diff: -13.6
epoch: 100, wins per 100: 5, avg checkers diff: -13.39
epoch: 110, wins per 10: 0, avg checkers diff: -14.2
epoch: 120, wins per 10: 0, avg checkers diff: -14.7
epoch: 130, wins per 10: 0, avg checkers diff: -14.5
epoch: 140, wins per 10: 1, avg checkers diff: -12.0
epoch: 150, wins per 10: 1, avg checkers diff: -11.0
epoch: 160, wins per 10: 1, avg checkers diff: -13.0
epoch: 170, wins per 10: 0, avg checkers diff: -14.7
epoch: 180, wins per 10: 1, avg checkers diff: -12.6
epoch: 190, wins per 10: 1, avg checkers diff: -12.0
epoch: 200, wins per 100: 6, avg checkers diff: -13.0
finished testing: 8.0 %
epoch: 210, wins per 10: 0, avg checkers diff: -15.0
epoch: 220, wins per 10: 0, avg checkers diff: -14.8
epoch: 230, wins per 10: 0, avg checkers diff: -14.4
epoch: 240, wins per 10: 1, avg checkers diff: -11.0
epoch: 250, wins per 10: 0, avg checkers diff: -14.6
epoch: 260, wins per 10: 0, avg checkers diff: -14.5
epoch: 270, wins per 10: 0, avg checkers diff: -14.2
epoch: 280, wins per 10: 0, avg checkers diff: -15.0
epoch: 290, wins per 10: 0, avg checkers diff: -15.0
epoch: 300, wins per 100: 1, avg checkers diff: -14.34
epoch: 310, wins per 10: 0, avg checkers diff: -14.2
epoch: 320, wins per 10: 1, avg checkers diff: -11.1
epoch: 330, wins per 10: 0, avg checkers diff: -14.1
epoch: 340, wins per 10: 0, avg checkers diff: -13.3
epoch: 350, wins per 10: 3, avg checkers diff: -7.2
epoch: 360, wins per 10: 0, avg checkers diff: -14.9
epoch: 370, wins per 10: 0, avg checkers diff: -14.3
epoch: 380, wins per 10: 1, avg checkers diff: -12.1
epoch: 390, wins per 10: 0, avg checkers diff: -14.1
epoch: 400, wins per 100: 7, avg checkers diff: -12.48
finished testing: 4.0 %
epoch: 410, wins per 10: 1, avg checkers diff: -12.0
epoch: 420, wins per 10: 1, avg checkers diff: -11.8
epoch: 430, wins per 10: 1, avg checkers diff: -12.5
epoch: 440, wins per 10: 0, avg checkers diff: -14.3
epoch: 450, wins per 10: 1, avg checkers diff: -12.1
epoch: 460, wins per 10: 0, avg checkers diff: -14.5
epoch: 470, wins per 10: 0, avg checkers diff: -15.0
epoch: 480, wins per 10: 0, avg checkers diff: -13.7
epoch: 490, wins per 10: 1, avg checkers diff: -12.0
epoch: 500, wins per 100: 5, avg checkers diff: -13.15
epoch: 510, loss = 4.070, wins per 10: 1, avg checkers diff: -11.7
epoch: 520, loss = 2.306, wins per 10: 3, avg checkers diff: -8.0
epoch: 530, loss = 10.886, wins per 10: 2, avg checkers diff: -9.6
epoch: 540, loss = 3.106, wins per 10: 3, avg checkers diff: -4.2
epoch: 550, loss = 1.373, wins per 10: 3, avg checkers diff: -5.5
epoch: 560, loss = 0.958, wins per 10: 0, avg checkers diff: -14.3
epoch: 570, loss = 2.010, wins per 10: 2, avg checkers diff: -7.8
epoch: 580, loss = 2.600, wins per 10: 3, avg checkers diff: -5.3
epoch: 590, loss = 5.852, wins per 10: 3, avg checkers diff: -8.1
epoch: 600, loss = 1.391, wins per 100: 24, avg checkers diff: -7.93
finished testing: 23.0 %
epoch: 610, loss = 3.631, wins per 10: 0, avg checkers diff: -14.1
epoch: 620, loss = 2.450, wins per 10: 2, avg checkers diff: -8.2
epoch: 630, loss = 1.668, wins per 10: 0, avg checkers diff: -13.1
epoch: 640, loss = 4.811, wins per 10: 3, avg checkers diff: -4.6
epoch: 650, loss = 2.117, wins per 10: 3, avg checkers diff: -5.0
epoch: 660, loss = 2.576, wins per 10: 3, avg checkers diff: -6.3
epoch: 670, loss = 2.506, wins per 10: 2, avg checkers diff: -6.5
epoch: 680, loss = 2.563, wins per 10: 3, avg checkers diff: -6.2
epoch: 690, loss = 2.149, wins per 10: 1, avg checkers diff: -9.8
epoch: 700, loss = 5.338, wins per 100: 19, avg checkers diff: -8.36
epoch: 710, loss = 2.578, wins per 10: 3, avg checkers diff: -4.9
epoch: 720, loss = 2.231, wins per 10: 3, avg checkers diff: -5.3
epoch: 730, loss = 5.230, wins per 10: 3, avg checkers diff: -6.1
epoch: 740, loss = 2.763, wins per 10: 4, avg checkers diff: -1.7
epoch: 750, loss = 2.330, wins per 10: 4, avg checkers diff: -4.0
epoch: 760, loss = 3.711, wins per 10: 2, avg checkers diff: -7.7
epoch: 770, loss = 2.587, wins per 10: 1, avg checkers diff: -11.8
epoch: 780, loss = 3.020, wins per 10: 3, avg checkers diff: -5.6
epoch: 790, loss = 3.343, wins per 10: 2, avg checkers diff: -6.5
epoch: 800, loss = 1.940, wins per 100: 26, avg checkers diff: -6.28
finished testing: 27.0 %
epoch: 810, loss = 2.764, wins per 10: 1, avg checkers diff: -11.9
epoch: 820, loss = 4.223, wins per 10: 1, avg checkers diff: -9.2
epoch: 830, loss = 1.830, wins per 10: 2, avg checkers diff: -8.7
epoch: 840, loss = 5.091, wins per 10: 3, avg checkers diff: -6.9
epoch: 850, loss = 1.367, wins per 10: 3, avg checkers diff: -5.9
epoch: 860, loss = 2.832, wins per 10: 0, avg checkers diff: -10.5
epoch: 870, loss = 9.042, wins per 10: 2, avg checkers diff: -5.3
epoch: 880, loss = 3.688, wins per 10: 2, avg checkers diff: -11.5
epoch: 890, loss = 3.424, wins per 10: 3, avg checkers diff: -6.0
