epoch: 10, wins per 10: 1, avg checkers diff: -13.5
epoch: 20, wins per 10: 2, avg checkers diff: -8.1
epoch: 30, wins per 10: 1, avg checkers diff: -10.4
epoch: 40, wins per 10: 0, avg checkers diff: -14.7
epoch: 50, wins per 10: 2, avg checkers diff: -8.0
epoch: 60, wins per 10: 4, avg checkers diff: -2.8
epoch: 70, wins per 10: 1, avg checkers diff: -10.4
epoch: 80, wins per 10: 1, avg checkers diff: -12.1
epoch: 90, wins per 10: 1, avg checkers diff: -13.1
epoch: 100, wins per 100: 16, avg checkers diff: -10.11
epoch: 110, wins per 10: 2, avg checkers diff: -8.1
epoch: 120, wins per 10: 2, avg checkers diff: -10.1
epoch: 130, wins per 10: 2, avg checkers diff: -10.7
epoch: 140, wins per 10: 1, avg checkers diff: -10.7
epoch: 150, wins per 10: 2, avg checkers diff: -8.4
epoch: 160, wins per 10: 2, avg checkers diff: -8.2
