epoch: 10, wins per 10: 3, avg checkers diff: -6.2
epoch: 20, wins per 10: 4, avg checkers diff: -2.9
epoch: 30, wins per 10: 4, avg checkers diff: -3.6
epoch: 40, wins per 10: 2, avg checkers diff: -3.8
epoch: 50, wins per 10: 3, avg checkers diff: -7.9
epoch: 60, wins per 10: 0, avg checkers diff: -11.5
epoch: 70, wins per 10: 1, avg checkers diff: -10.6
epoch: 80, wins per 10: 2, avg checkers diff: -8.2
epoch: 90, wins per 10: 1, avg checkers diff: -10.6
epoch: 100, wins per 100: 21, avg checkers diff: -7.54
epoch: 110, wins per 10: 2, avg checkers diff: -6.7
epoch: 120, wins per 10: 3, avg checkers diff: -2.1
epoch: 130, wins per 10: 5, avg checkers diff: 0.5
epoch: 140, wins per 10: 3, avg checkers diff: -3.4
epoch: 150, wins per 10: 2, avg checkers diff: -5.7
epoch: 160, wins per 10: 3, avg checkers diff: -4.9
epoch: 170, wins per 10: 5, avg checkers diff: -1.7
epoch: 180, wins per 10: 2, avg checkers diff: -5.9
epoch: 190, wins per 10: 5, avg checkers diff: -1.4
epoch: 200, wins per 100: 34, avg checkers diff: -3.21
finished testing: 42.0 %
epoch: 210, wins per 10: 3, avg checkers diff: -1.9
epoch: 220, wins per 10: 3, avg checkers diff: -3.7
epoch: 230, wins per 10: 3, avg checkers diff: -5.7
epoch: 240, wins per 10: 3, avg checkers diff: -3.2
epoch: 250, wins per 10: 4, avg checkers diff: -3.1
epoch: 260, wins per 10: 4, avg checkers diff: -3.0
epoch: 270, wins per 10: 2, avg checkers diff: -7.4
epoch: 280, wins per 10: 3, avg checkers diff: -3.7
epoch: 290, wins per 10: 1, avg checkers diff: -6.5
epoch: 300, wins per 100: 30, avg checkers diff: -4.17
epoch: 310, wins per 10: 4, avg checkers diff: -0.1
epoch: 320, wins per 10: 1, avg checkers diff: -7.1
epoch: 330, wins per 10: 2, avg checkers diff: -6.8
epoch: 340, wins per 10: 4, avg checkers diff: -5.7
epoch: 350, wins per 10: 3, avg checkers diff: -4.2
epoch: 360, wins per 10: 4, avg checkers diff: 0.3
epoch: 370, wins per 10: 3, avg checkers diff: -4.7
epoch: 380, wins per 10: 4, avg checkers diff: -2.7
epoch: 390, wins per 10: 5, avg checkers diff: 0.4
epoch: 400, wins per 100: 34, avg checkers diff: -3.27
finished testing: 28.999999999999996 %
epoch: 410, wins per 10: 4, avg checkers diff: -2.5
epoch: 420, wins per 10: 1, avg checkers diff: -10.3
epoch: 430, wins per 10: 3, avg checkers diff: -3.8
epoch: 440, wins per 10: 5, avg checkers diff: 3.3
epoch: 450, wins per 10: 8, avg checkers diff: 6.3
epoch: 460, wins per 10: 1, avg checkers diff: -8.5
epoch: 470, wins per 10: 3, avg checkers diff: -5.7
epoch: 480, wins per 10: 4, avg checkers diff: -1.4
epoch: 490, wins per 10: 7, avg checkers diff: 3.6
epoch: 500, wins per 100: 41, avg checkers diff: -2.02
epoch: 510, loss = 4.557, wins per 10: 3, avg checkers diff: -5.3
epoch: 520, loss = 1.686, wins per 10: 0, avg checkers diff: -14.0
epoch: 530, loss = 1.693, wins per 10: 0, avg checkers diff: -14.7
epoch: 540, loss = 1.246, wins per 10: 0, avg checkers diff: -13.0
epoch: 550, loss = 2.822, wins per 10: 1, avg checkers diff: -12.0
epoch: 560, loss = 1.000, wins per 10: 0, avg checkers diff: -12.7
epoch: 570, loss = 6.417, wins per 10: 3, avg checkers diff: -7.4
epoch: 580, loss = 1.344, wins per 10: 2, avg checkers diff: -8.8
epoch: 590, loss = 2.082, wins per 10: 4, avg checkers diff: -3.2
epoch: 600, loss = 1.547, wins per 100: 16, avg checkers diff: -9.86
finished testing: 12.0 %
epoch: 610, loss = 2.145, wins per 10: 3, avg checkers diff: -4.8
epoch: 620, loss = 3.101, wins per 10: 4, avg checkers diff: -2.4
epoch: 630, loss = 1.485, wins per 10: 2, avg checkers diff: -5.6
epoch: 640, loss = 1.303, wins per 10: 3, avg checkers diff: -6.7
epoch: 650, loss = 1.408, wins per 10: 0, avg checkers diff: -10.0
epoch: 660, loss = 2.572, wins per 10: 2, avg checkers diff: -10.3
epoch: 670, loss = 3.029, wins per 10: 3, avg checkers diff: -6.4
epoch: 680, loss = 4.338, wins per 10: 1, avg checkers diff: -11.1
epoch: 690, loss = 7.884, wins per 10: 1, avg checkers diff: -10.0
epoch: 700, loss = 3.812, wins per 100: 20, avg checkers diff: -7.94
epoch: 710, loss = 4.359, wins per 10: 0, avg checkers diff: -10.8
epoch: 720, loss = 2.590, wins per 10: 1, avg checkers diff: -12.6
epoch: 730, loss = 5.810, wins per 10: 2, avg checkers diff: -7.7
epoch: 740, loss = 4.570, wins per 10: 1, avg checkers diff: -10.1
epoch: 750, loss = 8.326, wins per 10: 1, avg checkers diff: -9.1
epoch: 760, loss = 3.461, wins per 10: 3, avg checkers diff: -4.7
epoch: 770, loss = 7.164, wins per 10: 2, avg checkers diff: -9.7
epoch: 780, loss = 3.494, wins per 10: 1, avg checkers diff: -12.0
epoch: 790, loss = 5.108, wins per 10: 2, avg checkers diff: -10.6
epoch: 800, loss = 3.494, wins per 100: 15, avg checkers diff: -9.68
finished testing: 23.0 %
epoch: 810, loss = 7.342, wins per 10: 1, avg checkers diff: -10.0
epoch: 820, loss = 3.818, wins per 10: 1, avg checkers diff: -10.5
epoch: 830, loss = 4.868, wins per 10: 0, avg checkers diff: -14.3
epoch: 840, loss = 2.812, wins per 10: 3, avg checkers diff: -5.0
epoch: 850, loss = 4.860, wins per 10: 4, avg checkers diff: -2.1
epoch: 860, loss = 4.292, wins per 10: 2, avg checkers diff: -7.6
epoch: 870, loss = 9.396, wins per 10: 2, avg checkers diff: -8.0
epoch: 880, loss = 2.901, wins per 10: 2, avg checkers diff: -9.0
epoch: 890, loss = 7.979, wins per 10: 2, avg checkers diff: -8.9
epoch: 900, loss = 4.263, wins per 100: 20, avg checkers diff: -8.18
epoch: 910, loss = 9.662, wins per 10: 5, avg checkers diff: 0.2
epoch: 920, loss = 7.783, wins per 10: 3, avg checkers diff: -3.2
epoch: 930, loss = 1.962, wins per 10: 3, avg checkers diff: -5.0
epoch: 940, loss = 6.056, wins per 10: 0, avg checkers diff: -10.9
epoch: 950, loss = 3.801, wins per 10: 2, avg checkers diff: -10.1
epoch: 960, loss = 3.800, wins per 10: 5, avg checkers diff: -0.8
epoch: 970, loss = 5.110, wins per 10: 4, avg checkers diff: -4.1
epoch: 980, loss = 3.443, wins per 10: 0, avg checkers diff: -12.2
epoch: 990, loss = 3.257, wins per 10: 4, avg checkers diff: -5.8
epoch: 1000, loss = 4.487, wins per 100: 28, avg checkers diff: -6.21
finished testing: 23.0 %
saved checkpoint
epoch: 1010, loss = 4.562, wins per 10: 5, avg checkers diff: -2.2
epoch: 1020, loss = 1.804, wins per 10: 2, avg checkers diff: -8.3
epoch: 1030, loss = 12.413, wins per 10: 3, avg checkers diff: -6.7
epoch: 1040, loss = 3.908, wins per 10: 2, avg checkers diff: -7.8
epoch: 1050, loss = 3.731, wins per 10: 1, avg checkers diff: -7.8
epoch: 1060, loss = 8.236, wins per 10: 3, avg checkers diff: -4.8
epoch: 1070, loss = 2.946, wins per 10: 1, avg checkers diff: -9.9
epoch: 1080, loss = 5.408, wins per 10: 1, avg checkers diff: -12.5
