epoch: 1010, loss = 3.374, wins per 10: 2, avg checkers diff: -6.5
epoch: 1020, loss = 6.669, wins per 10: 3, avg checkers diff: -5.7
epoch: 1030, loss = 2.930, wins per 10: 2, avg checkers diff: -8.0
epoch: 1040, loss = 8.455, wins per 10: 4, avg checkers diff: -3.4
epoch: 1050, loss = 4.477, wins per 10: 3, avg checkers diff: -5.0
epoch: 1060, loss = 4.249, wins per 10: 0, avg checkers diff: -12.1
epoch: 1070, loss = 2.397, wins per 10: 2, avg checkers diff: -8.0
epoch: 1080, loss = 7.189, wins per 10: 3, avg checkers diff: -5.3
epoch: 1090, loss = 2.938, wins per 10: 4, avg checkers diff: 0.1
epoch: 1100, loss = 4.321, wins per 100: 24, avg checkers diff: -5.97
epoch: 1110, loss = 3.305, wins per 10: 1, avg checkers diff: -9.8
epoch: 1120, loss = 3.201, wins per 10: 2, avg checkers diff: -7.2
epoch: 1130, loss = 12.066, wins per 10: 1, avg checkers diff: -8.3
epoch: 1140, loss = 5.378, wins per 10: 1, avg checkers diff: -8.9
epoch: 1150, loss = 2.462, wins per 10: 2, avg checkers diff: -10.1
epoch: 1160, loss = 3.743, wins per 10: 3, avg checkers diff: -4.5
epoch: 1170, loss = 7.865, wins per 10: 5, avg checkers diff: 0.1
epoch: 1180, loss = 4.454, wins per 10: 2, avg checkers diff: -6.4
epoch: 1190, loss = 3.913, wins per 10: 1, avg checkers diff: -8.3
epoch: 1200, loss = 4.303, wins per 100: 21, avg checkers diff: -7.01
finished testing: 27.0 %
epoch: 1210, loss = 4.190, wins per 10: 5, avg checkers diff: -0.7
epoch: 1220, loss = 7.313, wins per 10: 4, avg checkers diff: -2.9
epoch: 1230, loss = 4.357, wins per 10: 3, avg checkers diff: -2.8
epoch: 1240, loss = 4.910, wins per 10: 4, avg checkers diff: -2.0
epoch: 1250, loss = 8.396, wins per 10: 2, avg checkers diff: -7.0
epoch: 1260, loss = 21.405, wins per 10: 3, avg checkers diff: -6.7
epoch: 1270, loss = 11.384, wins per 10: 4, avg checkers diff: -2.5
epoch: 1280, loss = 2.088, wins per 10: 3, avg checkers diff: -2.4
epoch: 1290, loss = 2.947, wins per 10: 4, avg checkers diff: -3.0
epoch: 1300, loss = 4.157, wins per 100: 33, avg checkers diff: -3.93
epoch: 1310, loss = 3.563, wins per 10: 3, avg checkers diff: -7.2
epoch: 1320, loss = 3.536, wins per 10: 2, avg checkers diff: -9.0
epoch: 1330, loss = 4.111, wins per 10: 0, avg checkers diff: -13.0
epoch: 1340, loss = 6.420, wins per 10: 4, avg checkers diff: -2.6
epoch: 1350, loss = 3.797, wins per 10: 1, avg checkers diff: -10.9
epoch: 1360, loss = 4.691, wins per 10: 3, avg checkers diff: -6.3
epoch: 1370, loss = 4.913, wins per 10: 2, avg checkers diff: -9.3
