epoch: 10, wins per 10: 7, avg checkers diff: 8.1
epoch: 20, wins per 10: 9, avg checkers diff: 11.6
epoch: 30, wins per 10: 8, avg checkers diff: 9.1
epoch: 40, wins per 10: 9, avg checkers diff: 8.4
epoch: 50, wins per 10: 9, avg checkers diff: 8.7
epoch: 60, wins per 10: 8, avg checkers diff: 6.4
epoch: 70, wins per 10: 9, avg checkers diff: 11.8
epoch: 80, wins per 10: 6, avg checkers diff: 5.6
epoch: 90, wins per 10: 9, avg checkers diff: 12.2
epoch: 100, wins per 100: 83, avg checkers diff: 9.33
epoch: 110, wins per 10: 8, avg checkers diff: 8.9
epoch: 120, wins per 10: 9, avg checkers diff: 11.5
epoch: 130, wins per 10: 9, avg checkers diff: 9.4
epoch: 140, wins per 10: 8, avg checkers diff: 8.7
