epoch: 10, wins per 10: 5, avg checkers diff: -2.5
epoch: 20, wins per 10: 6, avg checkers diff: 4.8
epoch: 30, wins per 10: 5, avg checkers diff: -0.6
epoch: 40, wins per 10: 4, avg checkers diff: -0.5
epoch: 50, wins per 10: 6, avg checkers diff: 1.2
epoch: 60, wins per 10: 6, avg checkers diff: -0.3
epoch: 70, wins per 10: 6, avg checkers diff: 1.3
epoch: 80, wins per 10: 6, avg checkers diff: 2.9
epoch: 90, wins per 10: 4, avg checkers diff: -1.8
epoch: 100, wins per 100: 53, avg checkers diff: 0.59
epoch: 110, wins per 10: 2, avg checkers diff: -6.5
epoch: 120, wins per 10: 7, avg checkers diff: 4.3
epoch: 130, wins per 10: 4, avg checkers diff: -1.7
epoch: 140, wins per 10: 3, avg checkers diff: -4.5
epoch: 150, wins per 10: 4, avg checkers diff: -3.0
epoch: 160, wins per 10: 6, avg checkers diff: 1.7
epoch: 170, wins per 10: 5, avg checkers diff: 0.5
epoch: 180, wins per 10: 7, avg checkers diff: 4.6
epoch: 190, wins per 10: 6, avg checkers diff: 3.7
epoch: 200, wins per 100: 51, avg checkers diff: 0.12
finished testing: 53.0 %
epoch: 210, wins per 10: 6, avg checkers diff: 3.7
epoch: 220, wins per 10: 8, avg checkers diff: 6.8
epoch: 230, wins per 10: 2, avg checkers diff: -5.3
epoch: 240, wins per 10: 7, avg checkers diff: 3.6
epoch: 250, wins per 10: 6, avg checkers diff: 3.0
epoch: 260, wins per 10: 4, avg checkers diff: -2.2
epoch: 270, wins per 10: 6, avg checkers diff: 3.5
epoch: 280, wins per 10: 6, avg checkers diff: 4.0
epoch: 290, wins per 10: 5, avg checkers diff: 1.7
epoch: 300, wins per 100: 53, avg checkers diff: 1.59
epoch: 310, loss = 7.503, wins per 10: 6, avg checkers diff: 2.8
epoch: 320, loss = 2.353, wins per 10: 6, avg checkers diff: 0.9
epoch: 330, loss = 1.250, wins per 10: 5, avg checkers diff: 1.3
epoch: 340, loss = 1.135, wins per 10: 4, avg checkers diff: -3.0
epoch: 350, loss = 1.522, wins per 10: 8, avg checkers diff: 6.8
epoch: 360, loss = 1.813, wins per 10: 8, avg checkers diff: 10.6
epoch: 370, loss = 1.514, wins per 10: 7, avg checkers diff: 7.8
epoch: 380, loss = 1.393, wins per 10: 6, avg checkers diff: 4.3
epoch: 390, loss = 1.532, wins per 10: 7, avg checkers diff: 5.4
epoch: 400, loss = 1.388, wins per 100: 59, avg checkers diff: 3.18
finished testing: 70.0 %
epoch: 410, loss = 0.924, wins per 10: 7, avg checkers diff: 6.0
epoch: 420, loss = 1.503, wins per 10: 10, avg checkers diff: 11.1
epoch: 430, loss = 1.604, wins per 10: 8, avg checkers diff: 9.4
epoch: 440, loss = 2.154, wins per 10: 7, avg checkers diff: 6.9
epoch: 450, loss = 1.002, wins per 10: 8, avg checkers diff: 8.1
epoch: 460, loss = 1.640, wins per 10: 10, avg checkers diff: 10.3
epoch: 470, loss = 1.120, wins per 10: 7, avg checkers diff: 5.3
epoch: 480, loss = 1.730, wins per 10: 8, avg checkers diff: 9.7
epoch: 490, loss = 2.410, wins per 10: 7, avg checkers diff: 4.5
epoch: 500, loss = 4.568, wins per 100: 79, avg checkers diff: 7.69
epoch: 510, loss = 4.309, wins per 10: 8, avg checkers diff: 7.3
epoch: 520, loss = 0.986, wins per 10: 8, avg checkers diff: 8.1
epoch: 530, loss = 1.634, wins per 10: 8, avg checkers diff: 8.4
