epoch: 10, wins per 10: 9, avg checkers diff: 10.5
epoch: 20, wins per 10: 5, avg checkers diff: 1.0
epoch: 30, wins per 10: 2, avg checkers diff: -7.1
epoch: 40, wins per 10: 5, avg checkers diff: 0.6
epoch: 50, wins per 10: 9, avg checkers diff: 8.2
epoch: 60, wins per 10: 3, avg checkers diff: -3.5
epoch: 70, wins per 10: 4, avg checkers diff: -3.0
epoch: 80, wins per 10: 5, avg checkers diff: 0.8
epoch: 90, wins per 10: 9, avg checkers diff: 7.9
epoch: 100, wins per 100: 54, avg checkers diff: 1.02
epoch: 110, wins per 10: 3, avg checkers diff: -3.0
epoch: 120, wins per 10: 6, avg checkers diff: 3.0
epoch: 130, wins per 10: 5, avg checkers diff: 0.2
epoch: 140, wins per 10: 4, avg checkers diff: -0.9
epoch: 150, wins per 10: 5, avg checkers diff: 0.7
epoch: 160, wins per 10: 6, avg checkers diff: 3.5
epoch: 170, wins per 10: 7, avg checkers diff: 5.7
epoch: 180, wins per 10: 5, avg checkers diff: 1.1
epoch: 190, wins per 10: 6, avg checkers diff: 0.9
epoch: 200, wins per 100: 54, avg checkers diff: 1.51
finished testing: 56.00000000000001 %
epoch: 210, wins per 10: 3, avg checkers diff: -3.9
epoch: 220, wins per 10: 6, avg checkers diff: 3.8
epoch: 230, wins per 10: 8, avg checkers diff: 6.9
epoch: 240, wins per 10: 6, avg checkers diff: 0.5
epoch: 250, wins per 10: 5, avg checkers diff: 0.1
epoch: 260, wins per 10: 3, avg checkers diff: -4.2
epoch: 270, wins per 10: 8, avg checkers diff: 6.2
epoch: 280, wins per 10: 7, avg checkers diff: 5.1
epoch: 290, wins per 10: 8, avg checkers diff: 6.3
epoch: 300, wins per 100: 60, avg checkers diff: 2.28
epoch: 310, loss = 1.432, wins per 10: 6, avg checkers diff: 2.6
epoch: 320, loss = 1.955, wins per 10: 6, avg checkers diff: 4.3
epoch: 330, loss = 1.520, wins per 10: 10, avg checkers diff: 12.2
epoch: 340, loss = 1.206, wins per 10: 7, avg checkers diff: 6.1
epoch: 350, loss = 1.439, wins per 10: 6, avg checkers diff: 3.6
epoch: 360, loss = 1.195, wins per 10: 6, avg checkers diff: 2.5
epoch: 370, loss = 1.366, wins per 10: 7, avg checkers diff: 4.8
epoch: 380, loss = 1.135, wins per 10: 8, avg checkers diff: 8.4
epoch: 390, loss = 2.280, wins per 10: 10, avg checkers diff: 12.5
epoch: 400, loss = 1.320, wins per 100: 72, avg checkers diff: 6.12
finished testing: 70.0 %
epoch: 410, loss = 1.210, wins per 10: 5, avg checkers diff: 1.4
epoch: 420, loss = 1.473, wins per 10: 7, avg checkers diff: 6.9
epoch: 430, loss = 3.131, wins per 10: 7, avg checkers diff: 5.3
epoch: 440, loss = 3.205, wins per 10: 6, avg checkers diff: 0.8
epoch: 450, loss = 1.950, wins per 10: 6, avg checkers diff: 5.2
epoch: 460, loss = 0.985, wins per 10: 5, avg checkers diff: 0.5
epoch: 470, loss = 1.813, wins per 10: 7, avg checkers diff: 4.9
epoch: 480, loss = 1.518, wins per 10: 8, avg checkers diff: 9.8
epoch: 490, loss = 1.881, wins per 10: 7, avg checkers diff: 6.3
epoch: 500, loss = 1.821, wins per 100: 63, avg checkers diff: 4.29
epoch: 510, loss = 1.564, wins per 10: 7, avg checkers diff: 3.3
epoch: 520, loss = 2.087, wins per 10: 8, avg checkers diff: 7.7
epoch: 530, loss = 1.044, wins per 10: 4, avg checkers diff: -0.3
epoch: 540, loss = 1.984, wins per 10: 6, avg checkers diff: 2.9
epoch: 550, loss = 2.180, wins per 10: 5, avg checkers diff: -0.1
epoch: 560, loss = 2.338, wins per 10: 6, avg checkers diff: 5.9
epoch: 570, loss = 1.835, wins per 10: 8, avg checkers diff: 7.2
epoch: 580, loss = 1.241, wins per 10: 5, avg checkers diff: 0.8
epoch: 590, loss = 1.306, wins per 10: 6, avg checkers diff: 4.8
epoch: 600, loss = 3.534, wins per 100: 61, avg checkers diff: 3.57
finished testing: 68.0 %
epoch: 610, loss = 2.888, wins per 10: 8, avg checkers diff: 6.1
epoch: 620, loss = 2.786, wins per 10: 7, avg checkers diff: 4.6
epoch: 630, loss = 6.289, wins per 10: 4, avg checkers diff: 1.0
epoch: 640, loss = 3.958, wins per 10: 8, avg checkers diff: 8.1
epoch: 650, loss = 1.753, wins per 10: 7, avg checkers diff: 4.9
epoch: 660, loss = 3.002, wins per 10: 7, avg checkers diff: 6.2
epoch: 670, loss = 1.807, wins per 10: 4, avg checkers diff: 0.7
epoch: 680, loss = 2.331, wins per 10: 9, avg checkers diff: 10.7
epoch: 690, loss = 2.593, wins per 10: 7, avg checkers diff: 9.0
epoch: 700, loss = 1.567, wins per 100: 66, avg checkers diff: 5.35
epoch: 710, loss = 3.317, wins per 10: 6, avg checkers diff: 3.9
epoch: 720, loss = 2.590, wins per 10: 7, avg checkers diff: 5.8
epoch: 730, loss = 4.279, wins per 10: 8, avg checkers diff: 8.5
epoch: 740, loss = 1.865, wins per 10: 6, avg checkers diff: 2.0
epoch: 750, loss = 2.382, wins per 10: 7, avg checkers diff: 7.0
epoch: 760, loss = 5.230, wins per 10: 7, avg checkers diff: 7.1
epoch: 770, loss = 5.173, wins per 10: 7, avg checkers diff: 5.5
epoch: 780, loss = 3.130, wins per 10: 8, avg checkers diff: 8.0
epoch: 790, loss = 3.523, wins per 10: 9, avg checkers diff: 10.5
epoch: 800, loss = 4.320, wins per 100: 74, avg checkers diff: 6.84
finished testing: 70.0 %
epoch: 810, loss = 2.110, wins per 10: 6, avg checkers diff: 4.5
epoch: 820, loss = 2.090, wins per 10: 8, avg checkers diff: 8.8
epoch: 830, loss = 2.730, wins per 10: 8, avg checkers diff: 7.9
epoch: 840, loss = 16.008, wins per 10: 5, avg checkers diff: 0.2
epoch: 850, loss = 2.149, wins per 10: 5, avg checkers diff: 4.3
epoch: 860, loss = 1.760, wins per 10: 10, avg checkers diff: 11.3
epoch: 870, loss = 3.214, wins per 10: 8, avg checkers diff: 10.0
epoch: 880, loss = 2.665, wins per 10: 9, avg checkers diff: 8.4
