epoch: 10, wins per 10: 7, avg checkers diff: 2.5
epoch: 20, wins per 10: 2, avg checkers diff: -6.3
epoch: 30, wins per 10: 7, avg checkers diff: 4.4
epoch: 40, wins per 10: 2, avg checkers diff: -7.3
epoch: 50, wins per 10: 4, avg checkers diff: -3.3
epoch: 60, wins per 10: 5, avg checkers diff: -0.3
epoch: 70, wins per 10: 5, avg checkers diff: 0.0
epoch: 80, wins per 10: 2, avg checkers diff: -6.6
epoch: 90, wins per 10: 1, avg checkers diff: -9.8
epoch: 100, wins per 100: 39, avg checkers diff: -2.95
epoch: 110, wins per 10: 5, avg checkers diff: 0.6
epoch: 120, wins per 10: 3, avg checkers diff: -4.1
epoch: 130, wins per 10: 5, avg checkers diff: -2.6
epoch: 140, wins per 10: 5, avg checkers diff: 1.2
epoch: 150, wins per 10: 5, avg checkers diff: 1.1
