C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch: 10, wins per 10: 3, avg checkers diff: -8.0
epoch: 20, wins per 10: 3, avg checkers diff: -5.8
epoch: 30, wins per 10: 4, avg checkers diff: 0.2
epoch: 40, wins per 10: 6, avg checkers diff: 1.2
epoch: 50, wins per 10: 8, avg checkers diff: 8.7
epoch: 60, wins per 10: 9, avg checkers diff: 10.2
epoch: 70, wins per 10: 7, avg checkers diff: 5.9
epoch: 80, wins per 10: 9, avg checkers diff: 11.3
epoch: 90, wins per 10: 3, avg checkers diff: -4.7
epoch: 100, wins per 100: 55, avg checkers diff: 1.41
epoch: 110, wins per 10: 1, avg checkers diff: -6.2
epoch: 120, wins per 10: 1, avg checkers diff: -8.8
epoch: 130, wins per 10: 4, avg checkers diff: -3.3
epoch: 140, wins per 10: 6, avg checkers diff: 2.3
epoch: 150, wins per 10: 4, avg checkers diff: -3.6
epoch: 160, wins per 10: 4, avg checkers diff: -1.6
epoch: 170, wins per 10: 5, avg checkers diff: 1.2
epoch: 180, wins per 10: 6, avg checkers diff: 0.5
epoch: 190, wins per 10: 8, avg checkers diff: 5.4
epoch: 200, wins per 100: 47, avg checkers diff: -0.81
finished testing: 51.33333333333333 %
epoch: 210, wins per 10: 5, avg checkers diff: 0.0
epoch: 220, wins per 10: 1, avg checkers diff: -10.3
epoch: 230, wins per 10: 4, avg checkers diff: -3.9
epoch: 240, wins per 10: 4, avg checkers diff: -6.7
epoch: 250, wins per 10: 6, avg checkers diff: 3.5
epoch: 260, wins per 10: 6, avg checkers diff: 4.7
epoch: 270, wins per 10: 7, avg checkers diff: 5.5
epoch: 280, wins per 10: 3, avg checkers diff: -6.5
epoch: 290, wins per 10: 3, avg checkers diff: -4.4
epoch: 300, wins per 100: 41, avg checkers diff: -2.62
epoch: 310, loss = 4.887, wins per 10: 4, avg checkers diff: -3.8
epoch: 320, loss = 1.314, wins per 10: 6, avg checkers diff: 1.2
epoch: 330, loss = 1.228, wins per 10: 6, avg checkers diff: 0.7
epoch: 340, loss = 1.456, wins per 10: 6, avg checkers diff: 4.7
epoch: 350, loss = 0.675, wins per 10: 5, avg checkers diff: 1.3
epoch: 360, loss = 1.195, wins per 10: 8, avg checkers diff: 8.7
epoch: 370, loss = 1.798, wins per 10: 6, avg checkers diff: 5.2
epoch: 380, loss = 0.687, wins per 10: 5, avg checkers diff: 1.5
epoch: 390, loss = 0.589, wins per 10: 4, avg checkers diff: -0.2
epoch: 400, loss = 0.712, wins per 100: 52, avg checkers diff: 1.11
finished testing: 37.0 %
epoch: 410, loss = 0.844, wins per 10: 1, avg checkers diff: -11.2
epoch: 420, loss = 1.366, wins per 10: 2, avg checkers diff: -7.1
epoch: 430, loss = 2.114, wins per 10: 7, avg checkers diff: 3.5
epoch: 440, loss = 0.986, wins per 10: 7, avg checkers diff: 6.5
epoch: 450, loss = 1.175, wins per 10: 8, avg checkers diff: 6.0
epoch: 460, loss = 3.005, wins per 10: 3, avg checkers diff: -6.7
epoch: 470, loss = 1.191, wins per 10: 3, avg checkers diff: -5.8
epoch: 480, loss = 1.762, wins per 10: 4, avg checkers diff: -2.1
epoch: 490, loss = 1.243, wins per 10: 4, avg checkers diff: -2.3
epoch: 500, loss = 1.691, wins per 100: 43, avg checkers diff: -2.21
epoch: 510, loss = 0.744, wins per 10: 6, avg checkers diff: 3.0
epoch: 520, loss = 0.954, wins per 10: 6, avg checkers diff: 3.2
epoch: 530, loss = 2.714, wins per 10: 6, avg checkers diff: 1.4
epoch: 540, loss = 0.996, wins per 10: 4, avg checkers diff: -1.6
epoch: 550, loss = 1.805, wins per 10: 5, avg checkers diff: -0.7
epoch: 560, loss = 1.431, wins per 10: 4, avg checkers diff: -4.6
epoch: 570, loss = 1.214, wins per 10: 3, avg checkers diff: -4.2
epoch: 580, loss = 1.318, wins per 10: 0, avg checkers diff: -7.5
epoch: 590, loss = 2.822, wins per 10: 2, avg checkers diff: -7.1
epoch: 600, loss = 2.382, wins per 100: 36, avg checkers diff: -3.01
finished testing: 47.0 %
epoch: 610, loss = 2.037, wins per 10: 2, avg checkers diff: -8.0
epoch: 620, loss = 2.084, wins per 10: 3, avg checkers diff: -5.7
epoch: 630, loss = 1.377, wins per 10: 5, avg checkers diff: 0.5
epoch: 640, loss = 3.164, wins per 10: 4, avg checkers diff: -2.5
epoch: 650, loss = 1.602, wins per 10: 2, avg checkers diff: -5.7
epoch: 660, loss = 1.404, wins per 10: 2, avg checkers diff: -6.7
epoch: 670, loss = 1.087, wins per 10: 2, avg checkers diff: -5.7
epoch: 680, loss = 1.557, wins per 10: 2, avg checkers diff: -9.1
epoch: 690, loss = 1.288, wins per 10: 3, avg checkers diff: -8.8
epoch: 700, loss = 3.823, wins per 100: 30, avg checkers diff: -5.46
epoch: 710, loss = 1.833, wins per 10: 1, avg checkers diff: -7.8
epoch: 720, loss = 1.674, wins per 10: 4, avg checkers diff: -3.4
epoch: 730, loss = 2.180, wins per 10: 3, avg checkers diff: -5.0
epoch: 740, loss = 0.695, wins per 10: 5, avg checkers diff: 0.7
epoch: 750, loss = 1.056, wins per 10: 6, avg checkers diff: 1.0
epoch: 760, loss = 3.834, wins per 10: 3, avg checkers diff: -5.3
epoch: 770, loss = 2.413, wins per 10: 2, avg checkers diff: -8.4
epoch: 780, loss = 1.832, wins per 10: 4, avg checkers diff: -2.8
epoch: 790, loss = 2.037, wins per 10: 6, avg checkers diff: 5.4
epoch: 800, loss = 2.310, wins per 100: 43, avg checkers diff: -1.78
finished testing: 48.66666666666667 %
epoch: 810, loss = 2.311, wins per 10: 7, avg checkers diff: 6.5
epoch: 820, loss = 5.251, wins per 10: 5, avg checkers diff: 1.3
epoch: 830, loss = 1.425, wins per 10: 6, avg checkers diff: 2.8
epoch: 840, loss = 3.126, wins per 10: 8, avg checkers diff: 7.7
epoch: 850, loss = 2.445, wins per 10: 5, avg checkers diff: 0.0
epoch: 860, loss = 2.926, wins per 10: 2, avg checkers diff: -9.0
epoch: 870, loss = 2.918, wins per 10: 4, avg checkers diff: -1.6
epoch: 880, loss = 6.655, wins per 10: 9, avg checkers diff: 11.1
epoch: 890, loss = 1.495, wins per 10: 5, avg checkers diff: 0.6
epoch: 900, loss = 1.805, wins per 100: 59, avg checkers diff: 2.53
epoch: 910, loss = 2.382, wins per 10: 7, avg checkers diff: 5.8
epoch: 920, loss = 2.157, wins per 10: 7, avg checkers diff: 6.6
epoch: 930, loss = 1.724, wins per 10: 5, avg checkers diff: 2.3
epoch: 940, loss = 2.021, wins per 10: 4, avg checkers diff: -2.4
epoch: 950, loss = 2.571, wins per 10: 2, avg checkers diff: -10.0
epoch: 960, loss = 2.622, wins per 10: 3, avg checkers diff: -6.0
epoch: 970, loss = 3.283, wins per 10: 5, avg checkers diff: -2.3
epoch: 980, loss = 3.272, wins per 10: 7, avg checkers diff: 5.9
epoch: 990, loss = 1.448, wins per 10: 7, avg checkers diff: 6.2
epoch: 1000, loss = 4.258, wins per 100: 51, avg checkers diff: 0.47
finished testing: 52.0 %
saved checkpoint
epoch: 1010, loss = 2.667, wins per 10: 6, avg checkers diff: 3.4
epoch: 1020, loss = 1.691, wins per 10: 4, avg checkers diff: -1.3
epoch: 1030, loss = 4.202, wins per 10: 4, avg checkers diff: -4.0
epoch: 1040, loss = 1.993, wins per 10: 2, avg checkers diff: -6.4
epoch: 1050, loss = 3.789, wins per 10: 7, avg checkers diff: 4.7
epoch: 1060, loss = 3.454, wins per 10: 5, avg checkers diff: -1.9
epoch: 1070, loss = 3.902, wins per 10: 5, avg checkers diff: -1.4
epoch: 1080, loss = 1.914, wins per 10: 6, avg checkers diff: 3.8
epoch: 1090, loss = 3.267, wins per 10: 3, avg checkers diff: -7.6
epoch: 1100, loss = 2.355, wins per 100: 45, avg checkers diff: -1.19
epoch: 1110, loss = 3.141, wins per 10: 3, avg checkers diff: -6.3
epoch: 1120, loss = 3.765, wins per 10: 4, avg checkers diff: -3.0
epoch: 1130, loss = 3.288, wins per 10: 4, avg checkers diff: -4.3
epoch: 1140, loss = 3.049, wins per 10: 4, avg checkers diff: -0.6
epoch: 1150, loss = 2.920, wins per 10: 7, avg checkers diff: 6.3
epoch: 1160, loss = 4.129, wins per 10: 8, avg checkers diff: 8.9
epoch: 1170, loss = 3.190, wins per 10: 6, avg checkers diff: -1.3
epoch: 1180, loss = 6.599, wins per 10: 5, avg checkers diff: 0.8
epoch: 1190, loss = 2.908, wins per 10: 4, avg checkers diff: -3.2
epoch: 1200, loss = 2.259, wins per 100: 48, avg checkers diff: -0.85
finished testing: 51.0 %
epoch: 1210, loss = 1.539, wins per 10: 5, avg checkers diff: 1.8
epoch: 1220, loss = 2.580, wins per 10: 3, avg checkers diff: -4.8
epoch: 1230, loss = 2.090, wins per 10: 3, avg checkers diff: -6.0
epoch: 1240, loss = 2.578, wins per 10: 0, avg checkers diff: -13.4
epoch: 1250, loss = 2.081, wins per 10: 3, avg checkers diff: -5.5
epoch: 1260, loss = 2.420, wins per 10: 4, avg checkers diff: -2.9
epoch: 1270, loss = 2.068, wins per 10: 6, avg checkers diff: 1.4
epoch: 1280, loss = 2.296, wins per 10: 8, avg checkers diff: 8.7
epoch: 1290, loss = 3.247, wins per 10: 8, avg checkers diff: 6.6
epoch: 1300, loss = 2.224, wins per 100: 44, avg checkers diff: -1.59
epoch: 1310, loss = 2.943, wins per 10: 1, avg checkers diff: -8.1
epoch: 1320, loss = 2.038, wins per 10: 7, avg checkers diff: 3.1
epoch: 1330, loss = 1.827, wins per 10: 2, avg checkers diff: -6.3
epoch: 1340, loss = 1.414, wins per 10: 2, avg checkers diff: -7.6
epoch: 1350, loss = 2.042, wins per 10: 3, avg checkers diff: -4.2
epoch: 1360, loss = 2.526, wins per 10: 8, avg checkers diff: 7.1
epoch: 1370, loss = 2.560, wins per 10: 5, avg checkers diff: 2.2
epoch: 1380, loss = 2.436, wins per 10: 6, avg checkers diff: 2.9
epoch: 1390, loss = 2.126, wins per 10: 4, avg checkers diff: -3.9
epoch: 1400, loss = 1.260, wins per 100: 39, avg checkers diff: -2.54
finished testing: 48.66666666666667 %
epoch: 1410, loss = 1.991, wins per 10: 4, avg checkers diff: -3.3
epoch: 1420, loss = 3.613, wins per 10: 8, avg checkers diff: 5.0
epoch: 1430, loss = 1.135, wins per 10: 7, avg checkers diff: 4.1
epoch: 1440, loss = 3.483, wins per 10: 8, avg checkers diff: 7.8
epoch: 1450, loss = 2.947, wins per 10: 7, avg checkers diff: 6.2
epoch: 1460, loss = 2.174, wins per 10: 7, avg checkers diff: 7.2
epoch: 1470, loss = 2.313, wins per 10: 6, avg checkers diff: 4.6
epoch: 1480, loss = 2.903, wins per 10: 6, avg checkers diff: 3.4
epoch: 1490, loss = 2.333, wins per 10: 8, avg checkers diff: 5.7
epoch: 1500, loss = 2.834, wins per 100: 71, avg checkers diff: 5.42
epoch: 1510, loss = 2.078, wins per 10: 7, avg checkers diff: 6.0
epoch: 1520, loss = 2.158, wins per 10: 7, avg checkers diff: 5.9
epoch: 1530, loss = 1.245, wins per 10: 6, avg checkers diff: 4.1
epoch: 1540, loss = 2.996, wins per 10: 5, avg checkers diff: 0.9
epoch: 1550, loss = 2.221, wins per 10: 7, avg checkers diff: 6.5
epoch: 1560, loss = 1.949, wins per 10: 3, avg checkers diff: -3.7
epoch: 1570, loss = 2.959, wins per 10: 3, avg checkers diff: -5.5
epoch: 1580, loss = 3.873, wins per 10: 1, avg checkers diff: -10.5
