C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch: 10, wins per 10: 1, avg checkers diff: -14.2
epoch: 20, wins per 10: 2, avg checkers diff: -9.3
epoch: 30, wins per 10: 0, avg checkers diff: -10.9
epoch: 40, wins per 10: 0, avg checkers diff: -13.2
epoch: 50, wins per 10: 3, avg checkers diff: -8.3
epoch: 60, wins per 10: 1, avg checkers diff: -10.8
epoch: 70, wins per 10: 4, avg checkers diff: -3.3
epoch: 80, wins per 10: 3, avg checkers diff: -7.1
epoch: 90, wins per 10: 2, avg checkers diff: -7.1
epoch: 100, wins per 100: 18, avg checkers diff: -9.24
epoch: 110, wins per 10: 0, avg checkers diff: -13.1
epoch: 120, wins per 10: 2, avg checkers diff: -10.1
epoch: 130, wins per 10: 2, avg checkers diff: -10.1
epoch: 140, wins per 10: 4, avg checkers diff: -7.2
epoch: 150, wins per 10: 1, avg checkers diff: -12.0
epoch: 160, wins per 10: 4, avg checkers diff: -5.8
epoch: 170, wins per 10: 0, avg checkers diff: -13.2
epoch: 180, wins per 10: 0, avg checkers diff: -11.6
epoch: 190, wins per 10: 2, avg checkers diff: -8.0
epoch: 200, wins per 100: 17, avg checkers diff: -10.07
finished testing: 16.333333333333332 %
epoch: 210, wins per 10: 3, avg checkers diff: -4.7
epoch: 220, wins per 10: 2, avg checkers diff: -10.5
epoch: 230, wins per 10: 3, avg checkers diff: -5.3
epoch: 240, wins per 10: 1, avg checkers diff: -10.6
epoch: 250, wins per 10: 2, avg checkers diff: -6.4
epoch: 260, wins per 10: 3, avg checkers diff: -5.9
epoch: 270, wins per 10: 1, avg checkers diff: -10.0
epoch: 280, wins per 10: 4, avg checkers diff: -4.7
epoch: 290, wins per 10: 4, avg checkers diff: -4.4
epoch: 300, wins per 100: 25, avg checkers diff: -6.95
epoch: 310, loss = 1.568, wins per 10: 2, avg checkers diff: -7.6
epoch: 320, loss = 6.406, wins per 10: 1, avg checkers diff: -11.1
epoch: 330, loss = 1.127, wins per 10: 0, avg checkers diff: -12.5
epoch: 340, loss = 3.527, wins per 10: 4, avg checkers diff: -3.1
epoch: 350, loss = 1.045, wins per 10: 4, avg checkers diff: -3.6
epoch: 360, loss = 3.166, wins per 10: 3, avg checkers diff: -6.5
epoch: 370, loss = 2.501, wins per 10: 2, avg checkers diff: -7.7
epoch: 380, loss = 1.584, wins per 10: 3, avg checkers diff: -5.4
epoch: 390, loss = 1.624, wins per 10: 4, avg checkers diff: -2.8
epoch: 400, loss = 1.933, wins per 100: 27, avg checkers diff: -6.28
finished testing: 31.0 %
epoch: 410, loss = 2.350, wins per 10: 5, avg checkers diff: -1.3
epoch: 420, loss = 0.962, wins per 10: 3, avg checkers diff: -7.3
epoch: 430, loss = 1.908, wins per 10: 3, avg checkers diff: -5.5
epoch: 440, loss = 1.455, wins per 10: 2, avg checkers diff: -9.0
epoch: 450, loss = 1.848, wins per 10: 2, avg checkers diff: -7.5
epoch: 460, loss = 1.647, wins per 10: 5, avg checkers diff: -0.9
epoch: 470, loss = 1.902, wins per 10: 5, avg checkers diff: -0.4
epoch: 480, loss = 2.087, wins per 10: 1, avg checkers diff: -8.7
epoch: 490, loss = 1.428, wins per 10: 3, avg checkers diff: -6.4
epoch: 500, loss = 1.716, wins per 100: 35, avg checkers diff: -4.76
epoch: 510, loss = 1.096, wins per 10: 2, avg checkers diff: -7.4
epoch: 520, loss = 1.538, wins per 10: 5, avg checkers diff: 0.5
epoch: 530, loss = 1.947, wins per 10: 2, avg checkers diff: -9.6
epoch: 540, loss = 1.507, wins per 10: 1, avg checkers diff: -8.6
epoch: 550, loss = 1.574, wins per 10: 3, avg checkers diff: -6.0
epoch: 560, loss = 1.569, wins per 10: 5, avg checkers diff: 0.1
epoch: 570, loss = 2.745, wins per 10: 3, avg checkers diff: -4.2
epoch: 580, loss = 2.072, wins per 10: 6, avg checkers diff: 1.6
epoch: 590, loss = 2.273, wins per 10: 3, avg checkers diff: 0.6
epoch: 600, loss = 3.272, wins per 100: 36, avg checkers diff: -3.18
